Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507384215774792,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Longest Common Prefix,85.3,0.44887913460774503,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,85.3,0.4184518624179717,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Container With Most Water,80.9,0.5717352087514853,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Maximum Depth of Binary Tree,68.6,0.7675480260270605,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Maximal Square,68.6,0.4822799698330112,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Daily Temperatures,68.6,0.6696875420486569,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Maximum Employees to Be Invited to a Meeting,68.6,0.6234569755218501,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
EASY,Sqrt(x),68.6,0.4002710033328747,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Maximum Number of Weeks for Which You Can Work,68.6,0.4111846211459243,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,"Array, Greedy"
MEDIUM,Number of Islands,68.6,0.6158098025257719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Count the Number of Infection Sequences,58.9,0.35703030864769675,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
HARD,Trapping Rain Water,58.9,0.6428748511171972,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Maximum Path Quality of a Graph,58.9,0.5938227205415697,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
MEDIUM,Movie Rating,58.9,0.4118848526063128,https://leetcode.com/problems/movie-rating,Database
EASY,Sort Array by Increasing Frequency,58.9,0.8008801766801541,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
HARD,Count Increasing Quadruplets,58.9,0.3371507839215433,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
MEDIUM,Maximum Subarray,58.9,0.5173373188180186,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Valid Palindrome,58.9,0.5015494981358642,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Longest Consecutive Sequence,58.9,0.4719065262892819,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Valid Perfect Square,58.9,0.44017112518113655,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
EASY,Rotate String,58.9,0.6353760711660638,https://leetcode.com/problems/rotate-string,"String, String Matching"
EASY,Reverse Linked List,58.9,0.7865004136819703,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Best Time to Buy and Sell Stock,58.9,0.5476983439817114,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,58.9,0.5945074845603598,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Maximum Students Taking Exam,58.9,0.5183701096520915,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
