Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507384215774792,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Movie Rating,93.5,0.4118848526063128,https://leetcode.com/problems/movie-rating,Database
HARD,Count Increasing Quadruplets,93.5,0.3371507839215433,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
HARD,Count the Number of Infection Sequences,93.5,0.35703030864769675,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
HARD,Maximum Path Quality of a Graph,93.5,0.5938227205415697,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
HARD,Maximum Students Taking Exam,93.5,0.5183701096520915,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
MEDIUM,Container With Most Water,88.1,0.5717352087514853,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Valid Parentheses,84.8,0.4184518624179717,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Islands,84.8,0.6158098025257719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Longest Common Prefix,81.0,0.44887913460774503,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Reverse Linked List,76.5,0.7865004136819703,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,Trapping Rain Water,71.0,0.6428748511171972,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Subarray,71.0,0.5173373188180186,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Maximal Square,71.0,0.4822799698330112,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Valid Palindrome,64.0,0.5015494981358642,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Longest Palindromic Substring,64.0,0.3529835738759373,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Leftmost Column with at Least a One,64.0,0.5487115076194363,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Daily Temperatures,64.0,0.6696875420486569,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Kth Largest Element in an Array,64.0,0.6762036852821934,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Maximum Depth of Binary Tree,64.0,0.7675480260270605,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Remove Duplicates from Sorted Array,64.0,0.5945075260594593,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Maximum Number of Weeks for Which You Can Work,64.0,0.4111846211459243,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,"Array, Greedy"
HARD,Maximum Employees to Be Invited to a Meeting,64.0,0.6234569755218501,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
EASY,Sqrt(x),64.0,0.4002710033328747,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Best Time to Buy and Sell Stock,54.1,0.5476983439817114,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Monotone Increasing Digits,54.1,0.4860547441412104,https://leetcode.com/problems/monotone-increasing-digits,"Math, Greedy"
EASY,Fibonacci Number,54.1,0.7253659386207961,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Valid Perfect Square,54.1,0.44017112518113655,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
MEDIUM,Longest Consecutive Sequence,54.1,0.4719065262892819,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Linked List Cycle,54.1,0.5197226473120408,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Sort Array by Increasing Frequency,54.1,0.8008801766801541,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
MEDIUM,Word Break,54.1,0.4787519510488202,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Combination Sum II,54.1,0.5721014641402181,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
EASY,Move Zeroes,54.1,0.6254446341096742,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,LRU Cache,54.1,0.44431049669569467,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Rotate String,54.1,0.6353760711660638,https://leetcode.com/problems/rotate-string,"String, String Matching"
MEDIUM,Binary Search Tree to Greater Sum Tree,54.1,0.8833075778552676,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Coin Change,54.1,0.45813193925545626,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
