Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subarray Product Less Than K,100.0,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Smallest Substring With Identical Characters I,95.6,0.19116479152878887,https://leetcode.com/problems/smallest-substring-with-identical-characters-i,"Array, Binary Search, Enumeration"
EASY,Split a String in Balanced Strings,95.6,0.8662002646033781,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting"
HARD,Smallest Substring With Identical Characters II,95.6,0.44487571228012224,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii,"String, Binary Search"
MEDIUM,Maximum Number of Occurrences of a Substring,93.1,0.5295137784000509,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,93.1,0.572726801988401,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,LFU Cache,93.1,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Distinct Subsequences,87.0,0.4944143776166649,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Word Search,66.6,0.4462626302955725,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Course Schedule II,66.6,0.5263018380572027,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Binary Tree Maximum Path Sum,66.6,0.40904512691011946,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Minimum Number of Taps to Open to Water a Garden,56.8,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Validate Binary Search Tree,56.8,0.3398040793723859,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Backspace String Compare,56.8,0.49394017395367146,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Decode String,56.8,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Zigzag Conversion,56.8,0.5079123792658975,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Maximum Earnings From Taxi,56.8,0.44553291536050155,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,56.8,0.363266935130248,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Max Consecutive Ones III,56.8,0.6522469813861362,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Asteroid Collision,56.8,0.451076014552259,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,All Nodes Distance K in Binary Tree,56.8,0.6585736370270115,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Path Sum III,56.8,0.4604263908511273,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
HARD,Minimum Window Substring,56.8,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Game of Life,56.8,0.7094399581131747,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Meeting Rooms II,56.8,0.5191553183969946,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Palindromic Substrings,56.8,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
HARD,Reverse Nodes in k-Group,56.8,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
