Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Number of Occurrences of a Substring,100.0,0.5295137784000509,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
HARD,Distinct Subsequences,96.1,0.4944143776166649,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Subarray Product Less Than K,96.1,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Minimize Malware Spread,93.9,0.42199240360003304,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Split a String in Balanced Strings,91.5,0.8662002646033781,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting"
HARD,Smallest Substring With Identical Characters II,91.5,0.44487571228012224,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii,"String, Binary Search"
HARD,Smallest Substring With Identical Characters I,91.5,0.19116479152878887,https://leetcode.com/problems/smallest-substring-with-identical-characters-i,"Array, Binary Search, Enumeration"
HARD,LFU Cache,88.9,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,String Compression,88.9,0.572726801988401,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Palindromic Substrings,85.9,0.7126854175577977,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Number of Divisible Triplet Sums,82.5,0.6598439298963796,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,K-diff Pairs in an Array,82.5,0.44256804494639196,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Group Anagrams,78.6,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Course Schedule II,78.6,0.5263018380572027,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Merge Intervals,78.6,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Word Search,74.0,0.4462626302955725,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Maximum Units on a Truck,74.0,0.7403914669012537,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
HARD,Reverse Nodes in k-Group,68.4,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Coin Change,68.4,0.45813218144780193,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Minimum Number of Taps to Open to Water a Garden,68.4,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
EASY,Largest Number After Digit Swaps by Parity,68.4,0.6332682306986376,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
MEDIUM,Number of Islands,68.4,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Verify Preorder Sequence in Binary Search Tree,61.2,0.5065886486073659,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,"Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree"
EASY,Best Time to Buy and Sell Stock,61.2,0.5476981180804024,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Validate Binary Search Tree,61.2,0.3398040793723859,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Minimum Window Substring,61.2,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Substring Without Repeating Characters,61.2,0.363266935130248,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Binary Tree Maximum Path Sum,61.2,0.40904512691011946,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Min Stack,61.2,0.5591516149558924,https://leetcode.com/problems/min-stack,"Stack, Design"
HARD,Trapping Rain Water,61.2,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Max Consecutive Ones III,61.2,0.6522469813861362,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
