Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Search Suggestions System,100.0,0.6504573310484412,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Word Break,94.0,0.4787521424822725,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
HARD,Design a Text Editor,74.9,0.4735937768474984,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Split Array Largest Sum,74.9,0.5740391597510374,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
HARD,Minimum Number of Taps to Open to Water a Garden,74.9,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Merge Intervals,72.8,0.4880650144927678,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Beautiful Arrangement,70.5,0.6445062035406557,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,LRU Cache,70.5,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,The kth Factor of n,67.9,0.6925428721066084,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Longest Substring Without Repeating Characters,67.9,0.363266935130248,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Asteroid Collision,67.9,0.451076359699121,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Valid Parentheses,67.9,0.4184517208023701,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Largest Number,64.9,0.40860609611684745,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
HARD,Trapping Rain Water,61.5,0.6428752323916056,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,61.5,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Largest Element in an Array,61.5,0.6762042021002411,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Number of Islands,61.5,0.6158089204601095,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Integer to Roman,61.5,0.6785814508062822,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,3Sum,61.5,0.3642304958186001,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Capacity To Ship Packages Within D Days,61.5,0.7138854391536156,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Meeting Rooms II,57.4,0.5191553183969946,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,LFU Cache,57.4,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Task Scheduler,57.4,0.610292664115186,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Best Time to Buy and Sell Stock,57.4,0.5476980680629946,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,57.4,0.40904512691011946,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Jump Game,57.4,0.3911364157512327,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,"Pow(x, n)",52.5,0.3647741902866651,https://leetcode.com/problems/powx-n,"Math, Recursion"
HARD,IPO,52.5,0.5300080233718986,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Reconstruct Original Digits from English,52.5,0.5146023290166045,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
MEDIUM,Maximize Greatness of an Array,52.5,0.5873912257079121,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Populating Next Right Pointers in Each Node,52.5,0.6484020545884662,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Maximal Square,52.5,0.48227952054773454,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Container With Most Water,52.5,0.5717349103979382,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Palindromic Substring,52.5,0.352983545616773,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Decode Ways,52.5,0.36105037255592315,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Max Area of Island,52.5,0.7292312901550388,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Degree of an Array,52.5,0.5713919458681063,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,52.5,0.21316735186729152,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
HARD,Find Subarray With Bitwise OR Closest to K,52.5,0.30336591158202414,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k,"Array, Binary Search, Bit Manipulation, Segment Tree"
EASY,Is Subsequence,46.2,0.48208587504439554,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
