Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression,100.0,0.572726893524232,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Move Zeroes,91.6,0.6254443673391712,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,LFU Cache,91.6,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,LRU Cache,91.6,0.4443105711455335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,79.7,0.3632674650978117,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Time Needed to Rearrange a Binary String,79.7,0.5150165613605366,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
HARD,Median of Two Sorted Arrays,79.7,0.4293937713328851,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,4Sum,79.7,0.37601591873213214,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,First Missing Positive,79.7,0.40634289602807916,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Binary Tree Right Side View,79.7,0.6563556664880508,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Sliding Window Maximum,79.7,0.4724662432944326,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,"Pow(x, n)",79.7,0.3647738701439345,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Amount of Time for Binary Tree to Be Infected,79.7,0.6318869294231363,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Two Sum,79.7,0.5507382945232919,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Minimum One Bit Operations to Make Integers Zero,79.7,0.7356510447408806,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
MEDIUM,Kth Largest Element in an Array,79.7,0.6762037759575363,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Reverse Words in a String II,79.7,0.5576754514112079,https://leetcode.com/problems/reverse-words-in-a-string-ii,"Two Pointers, String"
MEDIUM,Daily Temperatures,79.7,0.6696879068677921,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
