Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subarray Product Less Than K,100.0,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Valid Parentheses,96.1,0.4184516519740359,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,96.1,0.7033699462325574,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,93.9,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,86.0,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Substring Without Repeating Characters,78.7,0.3632674463952676,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,78.7,0.4443105711455335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,74.2,0.48806536402437767,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Zigzag Conversion,74.2,0.5079126704842502,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Search in Rotated Sorted Array,74.2,0.4232400589432924,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Design HashMap,74.2,0.65674310972175,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Best Time to Buy and Sell Stock,74.2,0.5476983049302709,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Validate Binary Search Tree,68.6,0.33980444254443415,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Number of Islands,68.6,0.6158097886800356,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,68.6,0.5507383096148798,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Maximal Square,68.6,0.48227962955558357,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,First Unique Character in a String,61.4,0.6322654689408953,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Vowels of All Substrings,61.4,0.5439876818451569,https://leetcode.com/problems/vowels-of-all-substrings,"Math, String, Dynamic Programming, Combinatorics"
MEDIUM,Meeting Rooms II,61.4,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Maximum Product Subarray,61.4,0.3452959907544604,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Number of Distinct Substrings in a String,61.4,0.6439558170744296,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Daily Temperatures,61.4,0.6696879068677921,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Top K Frequent Words,61.4,0.5892386871724881,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Longest Consecutive Sequence,61.4,0.47190697398281434,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Pacific Atlantic Water Flow,61.4,0.5691461648039561,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Validate IP Address,61.4,0.2769414404225533,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Valid Parenthesis String,61.4,0.3862395180498794,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
MEDIUM,3Sum,61.4,0.364231135831798,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Fraction to Recurring Decimal,61.4,0.2588380732395776,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
EASY,Move Zeroes,61.4,0.6254443673391712,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Palindromic Substring,61.4,0.35298354554737815,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Maximum Subarray,61.4,0.5173372167927168,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Median of Two Sorted Arrays,61.4,0.4293937713328851,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Sum Root to Leaf Numbers,61.4,0.6788848245563104,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Largest Number,61.4,0.40860609611684745,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Lexicographically Smallest String After Operations With Constraint,51.4,0.6338048123922643,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
HARD,Number of Distinct Roll Sequences,51.4,0.5717215024699412,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
MEDIUM,Asteroid Collision,51.4,0.45107648274565504,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Coin Change,51.4,0.4581318869257332,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,House Robber,51.4,0.519883110494078,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Populating Next Right Pointers in Each Node,51.4,0.648402444899835,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Rotting Oranges,51.4,0.5596871680478486,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Number of Visible People in a Queue,51.4,0.7051585195193746,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
HARD,Find Minimum Diameter After Merging Two Trees,51.4,0.5795819935691319,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Container With Most Water,51.4,0.5717347811091977,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Set Matrix Zeroes,51.4,0.589321154666522,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,51.4,0.4614974488017989,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Product of Array Except Self,51.4,0.6738339737056365,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Search Suggestions System,51.4,0.6504527439669399,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Kth Largest Element in an Array,51.4,0.6762037759575363,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Reverse Linked List,51.4,0.7865003801890073,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Permutations,51.4,0.8013993148245006,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Merge Sorted Array,51.4,0.5225685730237621,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome,51.4,0.5015490561110169,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
HARD,N-Queens II,51.4,0.7601191436388018,https://leetcode.com/problems/n-queens-ii,Backtracking
MEDIUM,Binary Tree Zigzag Level Order Traversal,51.4,0.6100934506540245,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,Minimum Number of Taps to Open to Water a Garden,51.4,0.5070611850526068,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
HARD,Word Break II,51.4,0.5293074834312818,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Find Minimum in Rotated Sorted Array,51.4,0.5215057812147716,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Min Stack,51.4,0.559151239953365,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Single Element in a Sorted Array,51.4,0.5915621439892149,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Implement Trie (Prefix Tree),51.4,0.6744646075005423,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
