Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subarray Product Less Than K,100.0,0.5237852374403545,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Valid Parentheses,98.1,0.4184516214643706,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,96.0,0.7033699462325574,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,93.7,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Find Minimum Diameter After Merging Two Trees,91.2,0.5795819935691319,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph"
HARD,Number of Distinct Roll Sequences,91.2,0.5717215024699412,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
MEDIUM,Lexicographically Smallest String After Operations With Constraint,91.2,0.6338048123922643,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
MEDIUM,Generate Parentheses,88.5,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,LRU Cache,88.5,0.4443105711455335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,85.4,0.3632674463952676,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,78.0,0.5507383096148798,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Move Zeroes,78.0,0.6254443673391712,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,78.0,0.5476983049302709,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,73.2,0.48806536402437767,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Daily Temperatures,73.2,0.6696879068677921,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Maximal Square,73.2,0.4822799480320076,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Design HashMap,73.2,0.65674310972175,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
HARD,Median of Two Sorted Arrays,73.2,0.4293937713328851,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Zigzag Conversion,73.2,0.5079126704842502,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Search in Rotated Sorted Array,73.2,0.4232400589432924,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Maximum Subarray,67.5,0.5173372167927168,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
