Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Power of Two,100.0,0.4820304883985657,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
MEDIUM,Meeting Rooms II,83.4,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,LRU Cache,80.6,0.4443101734503459,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule II,77.4,0.5263015801247451,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Word Search,73.7,0.4462620297045804,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Cheapest Flights Within K Stops,73.7,0.40061280946878175,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Basic Calculator II,73.7,0.4525726821511124,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Minimum Window Substring,73.7,0.4466492619272139,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Shortest Bridge,73.7,0.5834013395567321,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Parallel Courses III,69.4,0.6684587149160209,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Valid Arrangement of Pairs,69.4,0.6667515413855192,https://leetcode.com/problems/valid-arrangement-of-pairs,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Number of Islands,69.4,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Jump Game III,69.4,0.6576501574231048,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
HARD,Word Ladder,64.1,0.4184668199101459,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Shortest Path in a Grid with Obstacles Elimination,64.1,0.45473780131290004,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
HARD,Minimum Time to Complete All Tasks,64.1,0.3862339153635719,https://leetcode.com/problems/minimum-time-to-complete-all-tasks,"Array, Binary Search, Stack, Greedy, Sorting"
