Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Power of Two,100.0,0.4820304883985657,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
MEDIUM,Meeting Rooms II,98.6,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,LRU Cache,97.0,0.4443101734503459,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Window Substring,93.6,0.4466492619272139,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Ladder,89.7,0.4184668199101459,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,One Edit Distance,87.5,0.344465493153644,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
HARD,Word Break II,87.5,0.529306796086732,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Min Stack,87.5,0.559151161511407,https://leetcode.com/problems/min-stack,"Stack, Design"
HARD,Alien Dictionary,87.5,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Valid Sudoku,87.5,0.616526737834959,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Game of Life,85.1,0.7094399581131747,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Ternary Expression Parser,85.1,0.6178325242299121,https://leetcode.com/problems/ternary-expression-parser,"String, Stack, Recursion"
EASY,Reverse Linked List,85.1,0.7865003026141533,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Combination Sum IV,85.1,0.5454120695547496,https://leetcode.com/problems/combination-sum-iv,"Array, Dynamic Programming"
EASY,Closest Binary Search Tree Value,85.1,0.5016664876087776,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Frog Jump,85.1,0.4640178062814826,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Remove K Digits,85.1,0.3444048452798263,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,String Compression,85.1,0.5727266973805903,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Reverse Words in a String,85.1,0.5006648651263728,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Design Log Storage System,85.1,0.5928816784660291,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
MEDIUM,Binary Tree Vertical Order Traversal,85.1,0.5656261114787747,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,Least Operators to Express Number,85.1,0.48648884239888424,https://leetcode.com/problems/least-operators-to-express-number,"Math, Dynamic Programming, Memoization"
HARD,Sudoku Solver,85.1,0.636724036210914,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Combination Sum,85.1,0.7393129651009054,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
