Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,String Transformation,100.0,0.30690389819773134,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
HARD,Trapping Rain Water,97.8,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Number of Ways to Form a Target String Given a Dictionary,89.4,0.5729995363088365,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
HARD,Painting the Walls,85.8,0.5031616183948706,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
EASY,Count Vowel Substrings of a String,85.8,0.6991177568100645,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Maximum Profit in Job Scheduling,85.8,0.5433499666760837,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
EASY,Happy Number,81.5,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Design In-Memory File System,69.5,0.4802936773240909,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Course Schedule,69.5,0.4847677771612034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Copy List with Random Pointer,60.1,0.5950403704397801,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
HARD,Integer to English Words,60.1,0.34259779168346993,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Minimum Window Substring,60.1,0.44664913530275263,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Most Profitable Path in a Tree,60.1,0.6807515945526633,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Container With Most Water,60.1,0.5717347811091977,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Regular Expression Matching,60.1,0.2897196261682243,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Time Based Key-Value Store,60.1,0.4936204160978852,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,60.1,0.6613186877703678,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Course Schedule II,60.1,0.526302719494976,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Maximum Number of Upgradable Servers,60.1,0.39432680783060325,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
MEDIUM,Find All Anagrams in a String,60.1,0.5182210553596416,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
