Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Design In-Memory File System,100.0,0.4802936773240909,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Find All Anagrams in a String,89.8,0.5182210553596416,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
HARD,Maximum Profit in Job Scheduling,85.1,0.5433499666760837,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Reverse Nodes in k-Group,82.3,0.6204625277820844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
HARD,Number of Ways to Form a Target String Given a Dictionary,82.3,0.5729995363088365,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
HARD,String Transformation,79.2,0.30690389819773134,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
EASY,Happy Number,75.6,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Painting the Walls,75.6,0.5031616183948706,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Boundary of Binary Tree,75.6,0.46787119736548405,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Basic Calculator,71.3,0.44856311103680163,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Course Schedule II,71.3,0.526302719494976,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Populating Next Right Pointers in Each Node II,71.3,0.5485079552955637,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Encode and Decode Strings,71.3,0.4895201888413396,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
HARD,Parallel Courses III,71.3,0.6684587149160209,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
EASY,Calculate Amount Paid in Taxes,66.1,0.6695508238657737,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
HARD,Word Search II,66.1,0.37015835555015486,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Populating Next Right Pointers in Each Node,66.1,0.648402444899835,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Graph Valid Tree,66.1,0.49072202108655666,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Swap Nodes in Pairs,66.1,0.6651432811031728,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
HARD,Regular Expression Matching,66.1,0.2897196261682243,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Design Hit Counter,66.1,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Design HashMap,59.3,0.6567424431574822,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Min Stack,59.3,0.559151239953365,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Maximum Number of Upgradable Servers,59.3,0.39432680783060325,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
HARD,Minimum Operations to Make Numbers Non-positive,59.3,0.41500192086054555,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
MEDIUM,Time Based Key-Value Store,59.3,0.4936204160978852,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Evaluate Division,59.3,0.6274962412664721,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
HARD,Sliding Window Median,59.3,0.3868092851644295,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,Maximum Profit From Trading Stocks,59.3,0.4634398712347666,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming"
HARD,Patching Array,59.3,0.5338286000475148,https://leetcode.com/problems/patching-array,"Array, Greedy"
MEDIUM,Number of Islands,59.3,0.6158096290904708,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Count Subarrays With Fixed Bounds,49.9,0.6772227032141168,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
HARD,Remove Invalid Parentheses,49.9,0.4891971726975419,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
MEDIUM,Maximum Number of Removable Characters,49.9,0.45108146351324035,https://leetcode.com/problems/maximum-number-of-removable-characters,"Array, Two Pointers, String, Binary Search"
MEDIUM,Jump Game,49.9,0.39113611906182993,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Find the Maximum Length of a Good Subsequence II,49.9,0.24292393227192316,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii,"Array, Hash Table, Dynamic Programming"
MEDIUM,Merge Intervals,49.9,0.48806528442720215,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimum Array Length After Pair Removals,49.9,0.24390760754397117,https://leetcode.com/problems/minimum-array-length-after-pair-removals,"Array, Hash Table, Two Pointers, Binary Search, Greedy, Counting"
MEDIUM,Find the Maximum Length of a Good Subsequence I,49.9,0.3113669382856421,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,"Array, Hash Table, Dynamic Programming"
EASY,Merge Two Sorted Lists,49.9,0.6628951956336698,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Cherry Pickup,49.9,0.3756434374547785,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
HARD,Set Intersection Size At Least Two,49.9,0.4485973166056805,https://leetcode.com/problems/set-intersection-size-at-least-two,"Array, Greedy, Sorting"
MEDIUM,Basic Calculator II,49.9,0.4525733686150466,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Integer to English Words,49.9,0.34259779168346993,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Count Nodes Equal to Average of Subtree,49.9,0.8648197206174928,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Meeting Rooms II,49.9,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Word Pattern II,49.9,0.48541767262192176,https://leetcode.com/problems/word-pattern-ii,"Hash Table, String, Backtracking"
MEDIUM,Search in Rotated Sorted Array,49.9,0.4232400589432924,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Cheapest Flights Within K Stops,49.9,0.40061280946878175,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Range Sum Query 2D - Immutable,49.9,0.5600341159389888,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
