Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Window Substring,100.0,0.44665286872730975,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Asteroid Collision,100.0,0.4510757789250574,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Two Sum,91.9,0.550738587023833,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,91.9,0.615810972944562,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Mountain in Array,91.9,0.407855858778368,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
EASY,Degree of an Array,91.9,0.5713929728382756,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Insert Delete GetRandom O(1),91.9,0.5490662524502803,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Roman to Integer,80.4,0.6415394747357506,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Subarray Product Less Than K,80.4,0.523786828326381,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Flatten a Multilevel Doubly Linked List,80.4,0.6095984404673229,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,80.4,0.8218327311815115,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Meeting Rooms II,80.4,0.5191554274822552,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,LRU Cache,80.4,0.4443115657807526,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,80.4,0.5579548553697896,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Palindromic Substrings,80.4,0.7126870331415734,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
