Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Edge Weight Equilibrium Queries in a Tree,100.0,0.43733681462140994,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree,"Array, Tree, Graph, Strongly Connected Component"
MEDIUM,Asteroid Collision,93.3,0.4510740982221281,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Robot Collisions,84.3,0.5675209537353626,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
MEDIUM,Insert Delete GetRandom O(1),78.4,0.5490655405388883,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Serialize and Deserialize Binary Tree,78.4,0.5835201576031888,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Number of Provinces,78.4,0.680164526571546,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Minimize the Difference Between Target and Chosen Elements,78.4,0.3568602818825967,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,"Array, Dynamic Programming, Matrix"
HARD,Apply Operations on Array to Maximize Sum of Squares,78.4,0.4531354949013861,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,"Array, Hash Table, Greedy, Bit Manipulation"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,78.4,0.4703215725611991,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
HARD,Maximum Profit in Job Scheduling,70.7,0.5433426409051393,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Count of Smaller Numbers After Self,70.7,0.42712869452422875,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Validate IP Address,70.7,0.27694205137845185,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Partition Labels,70.7,0.8020128092751628,https://leetcode.com/problems/partition-labels,"Hash Table, Two Pointers, String, Greedy"
MEDIUM,Next Greater Numerically Balanced Number,70.7,0.49086312285979455,https://leetcode.com/problems/next-greater-numerically-balanced-number,"Math, Backtracking, Enumeration"
HARD,Max Points on a Line,70.7,0.28425934339952125,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
HARD,Maximize Score After N Operations,70.7,0.5785250832240042,https://leetcode.com/problems/maximize-score-after-n-operations,"Array, Math, Dynamic Programming, Backtracking, Bit Manipulation, Number Theory, Bitmask"
MEDIUM,Set Matrix Zeroes,70.7,0.5893245127918715,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,Count Valid Paths in a Tree,70.7,0.3551439956529614,https://leetcode.com/problems/count-valid-paths-in-a-tree,"Math, Dynamic Programming, Tree, Depth-First Search, Number Theory"
MEDIUM,Apply Bitwise Operations to Make Strings Equal,60.0,0.4191648603329107,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,"String, Bit Manipulation"
MEDIUM,Maximum Subarray Sum After One Operation,60.0,0.6521000849023622,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,"Array, Dynamic Programming"
HARD,Create Components With Same Value,60.0,0.5314217891054472,https://leetcode.com/problems/create-components-with-same-value,"Array, Math, Tree, Depth-First Search, Enumeration"
HARD,Largest Rectangle in Histogram,60.0,0.4659918282720454,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Number of Same-End Substrings,60.0,0.6130692786158576,https://leetcode.com/problems/number-of-same-end-substrings,"Array, Hash Table, String, Counting, Prefix Sum"
HARD,Number of Great Partitions,60.0,0.3224296313743964,https://leetcode.com/problems/number-of-great-partitions,"Array, Dynamic Programming"
HARD,Count the Number of Powerful Integers,60.0,0.2678150070788108,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Math, String, Dynamic Programming"
HARD,Minimum Time to Revert Word to Initial State II,60.0,0.3496923570407955,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,"String, Rolling Hash, String Matching, Hash Function"
