Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximize Area of Square Hole in Grid,100.0,0.37458717191030766,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,"Array, Sorting"
EASY,Minimum Value to Get Positive Step by Step Sum,97.7,0.6485919329070562,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
EASY,Valid Parentheses,75.5,0.4184517439824478,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Sort Colors,75.5,0.6636211656327589,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Merge Sorted Array,75.5,0.5225686067784859,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Next Greater Element I,75.5,0.7392602608090377,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Fair Candy Swap,68.5,0.6285245272750792,https://leetcode.com/problems/fair-candy-swap,"Array, Hash Table, Binary Search, Sorting"
EASY,Happy Number,68.5,0.575614715314993,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Maximum Profit in Job Scheduling,68.5,0.54335067943223,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Daily Temperatures,68.5,0.6696886118136957,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Integer to Roman,68.5,0.6785827090202021,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Subarray Sum Equals K,58.7,0.44931315290020263,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Letter Combinations of a Phone Number,58.7,0.6308029584195929,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Immediate Food Delivery II,58.7,0.5375028661604241,https://leetcode.com/problems/immediate-food-delivery-ii,Database
MEDIUM,Count Good Meals,58.7,0.3112674278340393,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
HARD,Median of Two Sorted Arrays,58.7,0.42939384769847777,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,58.7,0.6613189890443032,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
HARD,First Missing Positive,58.7,0.4063427062401995,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,58.7,0.4443110186522549,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Two Sorted Lists,58.7,0.662895557126134,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Longest Consecutive Sequence,58.7,0.4719059845815224,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Majority Element,58.7,0.6549764016901826,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Maximum Length of Pair Chain,58.7,0.6060935036854592,https://leetcode.com/problems/maximum-length-of-pair-chain,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Subsets II,58.7,0.5890598528025407,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
EASY,Climbing Stairs,58.7,0.5334307129383083,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Trapping Rain Water,58.7,0.6428744872193881,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Score From Removing Substrings,58.7,0.6280191055772756,https://leetcode.com/problems/maximum-score-from-removing-substrings,"String, Stack, Greedy"
