Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.3632674510186722,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Letter Combinations of a Phone Number,90.9,0.6308023830913647,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Number of Islands,84.7,0.615809643976987,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,80.9,0.4184515976813177,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Find Winner on a Tic Tac Toe Game,76.4,0.5409290484448216,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
HARD,Reverse Nodes in k-Group,76.4,0.6204625277820844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Top K Frequent Elements,76.4,0.6408021798796184,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Container With Most Water,76.4,0.5717348026037441,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,LRU Cache,76.4,0.4443105711455335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Word Break,70.9,0.4787520674255411,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Subarray Sum Equals K,70.9,0.4493132048071407,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Decode the Message,70.9,0.8518832791212936,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
EASY,Move Zeroes,70.9,0.6254444702132174,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,70.9,0.5476981810138769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,3Sum,70.9,0.364231135831798,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Maximum Number of Balloons,63.9,0.5971897116419688,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Table, String, Counting"
MEDIUM,Serialize and Deserialize BST,63.9,0.5833749038439124,https://leetcode.com/problems/serialize-and-deserialize-bst,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Search Tree, Binary Tree"
MEDIUM,Generate Parentheses,63.9,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Merge k Sorted Lists,63.9,0.5579533250082452,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Serialize and Deserialize Binary Tree,63.9,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Basic Calculator II,63.9,0.4525724210155819,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Course Schedule II,63.9,0.5263021390680114,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Design Bounded Blocking Queue,63.9,0.728126159080154,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
EASY,Find Followers Count,53.9,0.6945971555507878,https://leetcode.com/problems/find-followers-count,Database
EASY,Minimum Changes To Make Alternating Binary String,53.9,0.6373467945811943,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
MEDIUM,Find Minimum in Rotated Sorted Array,53.9,0.5215057812147716,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Combination Sum II,53.9,0.5721014641402181,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
EASY,Is Subsequence,53.9,0.48208669419409245,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Valid Anagram,53.9,0.6615048903757135,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
