Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.3632674323161268,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Letter Combinations of a Phone Number,91.6,0.6308023830913647,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Minimum Changes To Make Alternating Binary String,91.6,0.6373467945811943,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
EASY,Find Followers Count,91.6,0.6945971555507878,https://leetcode.com/problems/find-followers-count,Database
MEDIUM,Basic Calculator II,82.7,0.4525724210155819,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Number of Islands,82.7,0.615809643976987,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,78.9,0.4184516095728459,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Merge Intervals,78.9,0.48806544362157905,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Design Circular Queue,78.9,0.5236253635437477,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Container With Most Water,78.9,0.5717348026037441,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Top K Frequent Elements,78.9,0.6408021798796184,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,LRU Cache,78.9,0.4443105711455335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Find Winner on a Tic Tac Toe Game,74.3,0.5409290484448216,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
MEDIUM,3Sum,74.3,0.364231135831798,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Reverse Nodes in k-Group,74.3,0.6204625277820844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Decode the Message,68.8,0.8518832791212936,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
EASY,Best Time to Buy and Sell Stock,68.8,0.5476981810138769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Subarray Sum Equals K,68.8,0.4493132048071407,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Word Break,68.8,0.4787520674255411,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Maximum Number of Balloons,68.8,0.5971897116419688,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Table, String, Counting"
EASY,Move Zeroes,68.8,0.6254444702132174,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Serialize and Deserialize BST,61.7,0.5833749038439124,https://leetcode.com/problems/serialize-and-deserialize-bst,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Search Tree, Binary Tree"
MEDIUM,Max Area of Island,61.7,0.7292316786396303,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Reorganize String,61.7,0.557836645879395,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Building H2O,61.7,0.5734755411547635,https://leetcode.com/problems/building-h2o,Concurrency
HARD,Serialize and Deserialize Binary Tree,61.7,0.5835188850889353,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Generate Parentheses,61.7,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Design Bounded Blocking Queue,61.7,0.728126159080154,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
HARD,Merge k Sorted Lists,61.7,0.5579533250082452,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Course Schedule II,61.7,0.5263023325438243,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Meeting Rooms II,51.7,0.5191547661608963,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Group Anagrams,51.7,0.7033701648211541,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,51.7,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Moving Average from Data Stream,51.7,0.79587634555093,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
EASY,Valid Palindrome,51.7,0.5015489927958402,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Longest Palindromic Substring,51.7,0.3529834208739118,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
