Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Increasing Subsequence,100.0,0.5717091401226735,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Number of Islands,100.0,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Course Schedule II,95.8,0.5263016660655798,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Merge Intervals,88.9,0.48806493100257387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,86.8,0.3632668695666276,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Word Search,84.6,0.4462626302955725,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Meeting Rooms II,82.1,0.5191555846903048,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Trapping Rain Water,82.1,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,LRU Cache,82.1,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule,79.4,0.4847666133135412,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Minimum Window Substring,79.4,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Break II,76.3,0.529306108740175,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Greatest Common Divisor of Strings,72.9,0.5253066785803988,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
HARD,Longest Increasing Path in a Matrix,72.9,0.5491075041303678,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
EASY,Valid Parentheses,72.9,0.41845175803888085,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Insert Delete GetRandom O(1),72.9,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Add Strings,72.9,0.5173800837939878,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Longest Palindromic Substring,72.9,0.3529835796249885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Number of Distinct Islands,72.9,0.6197944599377883,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Maximum Value at a Given Index in a Bounded Array,72.9,0.3891042132241856,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array,"Binary Search, Greedy"
MEDIUM,Decode String,72.9,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Word Ladder,68.9,0.418467367072222,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Sort Colors,68.9,0.6636205770538224,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,68.9,0.4232398141864659,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Swaps to Group All 1's Together,64.2,0.6099470649817897,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Coin Change,64.2,0.4581321640046037,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Reorder List,64.2,0.615864105445256,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Longest Consecutive Sequence,64.2,0.4719066628175957,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,3Sum,64.2,0.364230525724023,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Random Pick with Weight,64.2,0.4820817185952007,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,Find Median from Data Stream,64.2,0.5297427065626023,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Sqrt(x),64.2,0.40027070819167254,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
HARD,Merge k Sorted Lists,64.2,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Combination Sum,64.2,0.7393126437334232,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Subarray With Elements Greater Than Varying Threshold,64.2,0.44440893640510154,https://leetcode.com/problems/subarray-with-elements-greater-than-varying-threshold,"Array, Stack, Union Find, Monotonic Stack"
MEDIUM,Remove All Adjacent Duplicates in String II,58.5,0.5910194937772792,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Find First and Last Position of Element in Sorted Array,58.5,0.4614968420851848,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Top K Frequent Elements,58.5,0.6408011334519037,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
