Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,92.0,0.44431012363701083,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,90.6,0.48806493100257387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,86.3,0.3632668695666276,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Word Search,79.4,0.4462626302955725,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Merge k Sorted Lists,78.6,0.5579528330363718,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Search in Rotated Sorted Array,76.8,0.4232398141864659,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Minimum Window Substring,75.9,0.44664959668017445,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,75.0,0.3529835796249885,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Trapping Rain Water,74.0,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Combination Sum,71.8,0.7393126437334232,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Word Ladder,70.7,0.418467367072222,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Restore IP Addresses,70.7,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,3Sum,68.2,0.364230525724023,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Sort Colors,68.2,0.6636205770538224,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,66.8,0.5476980767748527,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,66.8,0.40904496529876316,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Valid Parentheses,65.4,0.41845180044026703,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Sqrt(x),65.4,0.40027070819167254,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
HARD,Word Break II,63.8,0.529306108740175,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Two Sum,63.8,0.5507379859046995,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Generate Parentheses,62.2,0.765298369289427,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Text Justification,62.2,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Combination Sum II,62.2,0.5721005303406252,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Edit Distance,60.4,0.581899589836725,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Spiral Matrix,60.4,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Subarray,60.4,0.5173370618539692,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,N-Queens,60.4,0.7166912693579871,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Word Break,60.4,0.478752015775188,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Find Peak Element,60.4,0.4633552313520142,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Permutations,58.4,0.8013989296294045,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Decode Ways,58.4,0.3610502087093256,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,58.4,0.4614968420851848,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Find All Possible Recipes from Given Supplies,56.3,0.5066344251899945,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
MEDIUM,Subsets,56.3,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Best Time to Buy and Sell Stock II,56.3,0.688563641367965,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Reverse Nodes in k-Group,56.3,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,53.9,0.6613180852208892,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
EASY,Merge Sorted Array,53.9,0.5225683181947144,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Jump Game,53.9,0.391136318997425,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Regular Expression Matching,53.9,0.2897187503416636,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Group Anagrams,53.9,0.7033700028669814,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Container With Most Water,53.9,0.5717350390446035,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Validate Binary Search Tree,51.3,0.3398040793723859,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Median of Two Sorted Arrays,51.3,0.42939363827074994,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,51.3,0.5635914721630675,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Reorder List,51.3,0.615864105445256,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Unique Binary Search Trees,51.3,0.62136879296033,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Next Permutation,51.3,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Reverse Words in a String,48.3,0.5006638301166235,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Surrounded Regions,48.3,0.4203108715438412,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Jump Game II,48.3,0.4113843890092491,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Sort List,48.3,0.6092478064868614,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Find Minimum in Rotated Sorted Array,48.3,0.5215056119058573,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Reverse Linked List II,48.3,0.4910144732935301,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Longest Consecutive Sequence,48.3,0.4719066628175957,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Add Two Numbers,48.3,0.45439659836741425,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Compare Version Numbers,48.3,0.41970873641689155,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
EASY,Missing Ranges,44.9,0.3498456055087059,https://leetcode.com/problems/missing-ranges,Array
MEDIUM,Integer to Roman,44.9,0.6785814508062822,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Climbing Stairs,44.9,0.5334308912399309,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Longest Common Prefix,44.9,0.4488791256776705,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Distinct Subsequences,44.9,0.4944143776166649,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Path Sum II,44.9,0.6004878442814762,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
HARD,Parallel Courses III,44.9,0.6684587149160209,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
