Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.36326751383863054,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Min Stack,91.4,0.5591515160034146,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Keys and Rooms,85.5,0.7424682066203921,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
EASY,Two Sum,85.5,0.5507388372905243,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Rotate Image,81.9,0.7717072888797873,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Backspace String Compare,77.7,0.4939404934884166,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Simplify Path,77.7,0.4659607029327294,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Longest Subarray of 1's After Deleting One Element,72.5,0.6878861057574254,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
MEDIUM,Longest Palindromic Substring,72.5,0.35298403849083093,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Battleships in a Board,65.8,0.762142578632701,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
MEDIUM,Count Square Submatrices with All Ones,65.8,0.7851666721372204,https://leetcode.com/problems/count-square-submatrices-with-all-ones,"Array, Dynamic Programming, Matrix"
MEDIUM,Event Emitter,65.8,0.7428936096569029,https://leetcode.com/problems/event-emitter,
MEDIUM,Search in Rotated Sorted Array,65.8,0.42324058216182114,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Search a 2D Matrix,65.8,0.517773281637043,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Subarray Sums Divisible by K,65.8,0.5552732795967054,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Daily Temperatures,65.8,0.6696886019363846,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Maximize Distance to Closest Person,65.8,0.4870455446010679,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Find All Numbers Disappeared in an Array,56.4,0.6199864659292011,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,"Array, Hash Table"
MEDIUM,Meeting Rooms II,56.4,0.5191546875601093,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Valid Palindrome,56.4,0.501550442344783,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Subarray Sum Equals K,56.4,0.4493133756160121,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Paint House,56.4,0.6342361419255548,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
EASY,Squares of a Sorted Array,56.4,0.7309295617732681,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Department Highest Salary,56.4,0.5391412372385836,https://leetcode.com/problems/department-highest-salary,Database
EASY,Monotonic Array,56.4,0.6157010888940314,https://leetcode.com/problems/monotonic-array,Array
EASY,Is Subsequence,56.4,0.48208771385005117,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,56.4,0.5476982110499677,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,56.4,0.46149785798626863,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Decode String,56.4,0.6068664229368894,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
