Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.36326751383863054,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Min Stack,92.1,0.5591516351710102,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Two Sum,89.6,0.5507388372905243,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Keys and Rooms,83.7,0.7424682066203921,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Rotate Image,80.1,0.7717072888797873,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Longest Palindromic Substring,75.8,0.35298403849083093,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Simplify Path,75.8,0.4659607029327294,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Backspace String Compare,75.8,0.4939404934884166,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Form Smallest Number From Two Digit Arrays,70.6,0.5451672207111917,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,"Array, Hash Table, Enumeration"
MEDIUM,Number of Islands,70.6,0.6158107856674208,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Battleships in a Board,70.6,0.762142578632701,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
EASY,Find All Numbers Disappeared in an Array,70.6,0.6199864659292011,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,"Array, Hash Table"
MEDIUM,Find First and Last Position of Element in Sorted Array,70.6,0.46149785798626863,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Longest Subarray of 1's After Deleting One Element,70.6,0.6878861057574254,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
MEDIUM,Search a 2D Matrix,70.6,0.517773281637043,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Count Square Submatrices with All Ones,63.8,0.7851666721372204,https://leetcode.com/problems/count-square-submatrices-with-all-ones,"Array, Dynamic Programming, Matrix"
MEDIUM,Event Emitter,63.8,0.7428936096569029,https://leetcode.com/problems/event-emitter,
EASY,Minimum Difference Between Highest and Lowest of K Scores,63.8,0.5822727962018968,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,"Array, Sliding Window, Sorting"
MEDIUM,Decode String,63.8,0.6068664229368894,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Subarray Sums Divisible by K,63.8,0.5552732795967054,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Search in Rotated Sorted Array,63.8,0.42324058216182114,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Daily Temperatures,63.8,0.6696886019363846,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Maximize Distance to Closest Person,63.8,0.4870455446010679,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Squares of a Sorted Array,54.4,0.7309295617732681,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Meeting Rooms II,54.4,0.5191546875601093,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Is Subsequence,54.4,0.48208771385005117,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Department Highest Salary,54.4,0.5391412372385836,https://leetcode.com/problems/department-highest-salary,Database
EASY,Monotonic Array,54.4,0.6157003187247009,https://leetcode.com/problems/monotonic-array,Array
MEDIUM,Remove Nth Node From End of List,54.4,0.4810553165755637,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Best Time to Buy and Sell Stock,54.4,0.5476982110499677,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Line Reflection,54.4,0.3587024122461503,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
EASY,Isomorphic Strings,54.4,0.4641651406894408,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Subarray Sum Equals K,54.4,0.4493133756160121,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Paint House,54.4,0.6342361419255548,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
EASY,Merge Sorted Array,54.4,0.5225691155813075,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome,54.4,0.501550442344783,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
