Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.41845248905926247,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,96.7,0.36326751383863054,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Koko Eating Bananas,96.7,0.48824021241960563,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Cost For Tickets,88.6,0.6740559574546877,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
EASY,Baseball Game,76.1,0.7823284959140673,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Validate IP Address,76.1,0.2769428040445537,https://leetcode.com/problems/validate-ip-address,String
EASY,Partition Array Into Three Parts With Equal Sum,66.3,0.4200572524344097,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Kth Largest Element in an Array,66.3,0.6762041271986114,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Best Time to Buy and Sell Stock,66.3,0.5476982110499677,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Minimum Length of Anagram Concatenation,66.3,0.413881250777245,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
MEDIUM,Number of Islands,66.3,0.6158107856674208,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,66.3,0.46149785798626863,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Race Car,66.3,0.4397104140967535,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Jump Game,66.3,0.3911360991634624,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
