Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.41845248905926247,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,82.1,0.36326751383863054,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Baseball Game,80.2,0.7823284959140673,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
EASY,Climbing Stairs,66.4,0.5334306591947244,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Longest Common Prefix,66.4,0.44887969194887345,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Find the Town Judge,62.0,0.4988812360058552,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
MEDIUM,Longest Consecutive Sequence,62.0,0.471905924148097,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Number of Islands,62.0,0.6158107856674208,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Repeating Character Replacement,56.2,0.5641852565903457,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Minimum Cost For Tickets,56.2,0.6740559574546877,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Maximum Number of Vowels in a Substring of Given Length,56.2,0.5984152013725665,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
MEDIUM,Merge Intervals,56.2,0.4880669018695712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,56.2,0.5173373413208051,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find Duplicate File in System,56.2,0.6759464818329718,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
EASY,Two Sum,48.2,0.5507388523820305,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Validate IP Address,48.2,0.2769428040445537,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Consecutive Numbers,48.2,0.4538023253743567,https://leetcode.com/problems/consecutive-numbers,Database
MEDIUM,Longest Palindromic Substring,48.2,0.35298403849083093,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Product of Array Except Self,48.2,0.6738338627789052,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,House Robber,48.2,0.5198828526286983,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Valid Palindrome,48.2,0.501550442344783,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
HARD,Regular Expression Matching,48.2,0.2897205019874894,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Degree of an Array,48.2,0.5713929728382756,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
EASY,Maximum Depth of Binary Tree,48.2,0.7675478748021145,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Spiral Matrix,48.2,0.5293301244493098,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
