Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.41845248905926247,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,86.9,0.36326751383863054,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Baseball Game,80.4,0.7823284959140673,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Minimum Cost For Tickets,70.8,0.6740559574546877,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Koko Eating Bananas,68.2,0.48824021241960563,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Longest Common Prefix,65.2,0.44887969194887345,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Number of Islands,65.2,0.6158107856674208,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Find the Town Judge,61.6,0.4988812360058552,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
MEDIUM,Validate IP Address,61.6,0.2769428040445537,https://leetcode.com/problems/validate-ip-address,String
EASY,Climbing Stairs,61.6,0.5334306591947244,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,57.2,0.5173373413208051,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,57.2,0.471905924148097,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Partition Array Into Three Parts With Equal Sum,51.5,0.4200572524344097,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Product of Array Except Self,51.5,0.6738338627789052,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Longest Repeating Character Replacement,51.5,0.5641852565903457,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
EASY,Degree of an Array,51.5,0.5713929728382756,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Maximum Number of Vowels in a Substring of Given Length,51.5,0.5984152013725665,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
HARD,Regular Expression Matching,51.5,0.2897205019874894,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Find Duplicate File in System,51.5,0.6759464818329718,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
MEDIUM,Merge Intervals,51.5,0.4880669018695712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Race Car,43.5,0.4397104140967535,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Find First and Last Position of Element in Sorted Array,43.5,0.46149785798626863,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Reverse Only Letters,43.5,0.6642433923458895,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
MEDIUM,Minimum Length of Anagram Concatenation,43.5,0.413881250777245,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
MEDIUM,Find All Anagrams in a String,43.5,0.518221818254755,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,43.5,0.5476982110499677,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Spiral Matrix,43.5,0.5293301244493098,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Kth Largest Element in an Array,43.5,0.6762041271986114,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Sum of Left Leaves,43.5,0.6139229242737653,https://leetcode.com/problems/sum-of-left-leaves,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Valid Palindrome,43.5,0.501550442344783,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Maximum Repeating Substring,43.5,0.39257844794939223,https://leetcode.com/problems/maximum-repeating-substring,"String, Dynamic Programming, String Matching"
MEDIUM,Number of Subsequences That Satisfy the Given Sum Condition,43.5,0.43791035893149977,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Longest Palindromic Substring,43.5,0.35298410082733045,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Maximum Depth of Binary Tree,43.5,0.7675478748021145,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,House Robber,43.5,0.5198828526286983,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Two Sum,43.5,0.5507388523820305,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Consecutive Numbers,43.5,0.4538023253743567,https://leetcode.com/problems/consecutive-numbers,Database
MEDIUM,Jump Game,43.5,0.3911360991634624,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
