Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Operations to Reduce an Integer to 0,100.0,0.5668778099042334,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Number of Provinces,100.0,0.6801595594150931,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Random Pick with Weight,98.1,0.48208347463523277,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Maximum Subarray Sum with One Deletion,96.0,0.44777351233067564,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,"Array, Dynamic Programming"
MEDIUM,Game of Life,93.8,0.7094403346794471,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
EASY,Power of Four,93.8,0.4911321425431639,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
HARD,Wildcard Matching,93.8,0.29364421972990584,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Maximum Sum Circular Subarray,93.8,0.4688776257580641,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
MEDIUM,Longest String Chain,93.8,0.6169817180366625,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
EASY,Intersection of Two Arrays,93.8,0.7600196657350857,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Multiply Strings,91.3,0.41830226172443624,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Word Search II,88.5,0.3701589702921979,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Parallel Courses III,77.3,0.6684587149160209,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Merge k Sorted Lists,72.0,0.5579533250082452,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Design HashMap,65.2,0.6567428217645924,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
HARD,Minimum Space Wasted From Packaging,65.2,0.3227899432278994,https://leetcode.com/problems/minimum-space-wasted-from-packaging,"Array, Binary Search, Sorting, Prefix Sum"
MEDIUM,Design Memory Allocator,65.2,0.5348305788939156,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Tic-Tac-Toe,55.7,0.5843353881574888,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,55.7,0.5476984027108965,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Search Suggestions System,55.7,0.6504515972066733,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Number of Orders in the Backlog,55.7,0.5123050948455656,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Sum of Square Numbers,55.7,0.3643250090031915,https://leetcode.com/problems/sum-of-square-numbers,"Math, Two Pointers, Binary Search"
MEDIUM,Merge Intervals,55.7,0.4880652883199977,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Robot Room Cleaner,55.7,0.771622901859491,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
