Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Alien Dictionary,100.0,0.36424325014905035,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,92.9,0.5669935398889205,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Block Placement Queries,88.4,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Word Search,82.9,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Spiral Matrix,75.9,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Design In-Memory File System,75.9,0.48029548568100344,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Rotating the Box,75.9,0.7912891570186954,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
HARD,Bus Routes,75.9,0.4706137576435859,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Number of Islands,75.9,0.6158088481082719,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Kth Smallest Element in a BST,65.9,0.7471383820977894,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Leftmost Column with at Least a One,65.9,0.5487115076194363,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Insert Delete GetRandom O(1),65.9,0.5490693218065985,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Binary Tree Right Side View,65.9,0.656355993308443,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Remove Comments,65.9,0.3922243896553111,https://leetcode.com/problems/remove-comments,"Array, String"
EASY,Squares of a Sorted Array,65.9,0.7309318058723187,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Water and Jug Problem,65.9,0.42504812276572873,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
MEDIUM,Course Schedule II,65.9,0.5263020959907138,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Word Ladder,65.9,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Number of Black Blocks,65.9,0.3742378936740321,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
