Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5507379542649148,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Roman to Integer,79.2,0.6415381181847792,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Add Two Numbers,75.0,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Longest Common Prefix,75.0,0.44887898798329745,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,74.1,0.4184517952754241,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,73.1,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,72.1,0.5476982268271333,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Reverse Integer,68.6,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Merge Two Sorted Lists,68.6,0.6628950958989812,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Trapping Rain Water,67.4,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Word Search,67.4,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,3Sum,67.4,0.36423060075594826,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Group Anagrams,67.4,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Median of Two Sorted Arrays,66.0,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Remove Element,66.0,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
HARD,Text Justification,64.6,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Longest Palindromic Substring,64.6,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Next Permutation,64.6,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Rotate Image,63.1,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Sqrt(x),63.1,0.40027057699287866,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Merge Intervals,63.1,0.48806484361940256,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Generate Parentheses,61.4,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Search in Rotated Sorted Array,61.4,0.42323959794375277,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Jump Game II,61.4,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Valid Sudoku,61.4,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Remove Duplicates from Sorted Array,61.4,0.5945075229191796,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Climbing Stairs,59.7,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Find the Index of the First Occurrence in a String,59.7,0.4446359717405063,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Container With Most Water,59.7,0.5717349107192083,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,59.7,0.3632668273288878,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Palindrome Number,59.7,0.5865360190452846,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Maximum Subarray,57.7,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,57.7,0.6308016559834609,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Search Insert Position,55.6,0.48338374370417647,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Binary Tree Level Order Traversal,55.6,0.6982011763903331,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Plus One,55.6,0.4704643565412813,https://leetcode.com/problems/plus-one,"Array, Math"
HARD,Longest Valid Parentheses,55.6,0.35694464228573786,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Largest Rectangle in Histogram,55.6,0.46599430727940705,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Longest Consecutive Sequence,55.6,0.4719065352190347,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Pascal's Triangle,53.3,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,53.3,0.4614968279616237,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Valid Palindrome,53.3,0.5015483631834179,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Set Matrix Zeroes,53.3,0.5893209483631097,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Spiral Matrix,53.3,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Jump Game,53.3,0.3911360287358176,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Minimum Window Substring,53.3,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Zigzag Conversion,50.7,0.5079123792658975,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Decode Ways,50.7,0.3610500448626439,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
EASY,Length of Last Word,50.7,0.5544601556120669,https://leetcode.com/problems/length-of-last-word,String
MEDIUM,Best Time to Buy and Sell Stock II,47.8,0.6885635514213032,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Word Break,47.8,0.4787520054450873,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
HARD,Word Ladder,44.4,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,"Pow(x, n)",44.4,0.3647742538790063,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Add Binary,44.4,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Divide Two Integers,44.4,0.18146011374454946,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
HARD,N-Queens,40.5,0.7166910476136805,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Sort Colors,40.5,0.6636207416579357,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Palindrome Partitioning,40.5,0.7138387050735545,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
HARD,Regular Expression Matching,40.5,0.2897186408628305,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,3Sum Closest,40.5,0.46598247796697967,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
HARD,Merge k Sorted Lists,40.5,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Subsets,40.5,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Insert Interval,40.5,0.42944188605855393,https://leetcode.com/problems/insert-interval,Array
HARD,First Missing Positive,40.5,0.4063430225538805,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Spiral Matrix II,35.7,0.7294074516081444,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
HARD,Candy,35.7,0.4438421040357648,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Unique Paths,35.7,0.6540336762085056,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,String to Integer (atoi),35.7,0.18717124658328768,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Permutations,35.7,0.8013988654300767,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,4Sum,35.7,0.37601615398210986,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Distinct Subsequences,35.7,0.4944143776166649,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
EASY,Minimum Depth of Binary Tree,35.7,0.5002023193234006,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Combination Sum II,35.7,0.5721007800388274,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Validate Binary Search Tree,35.7,0.3398040395559635,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Binary Tree Inorder Traversal,35.7,0.7800952223184408,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
EASY,Remove Duplicates from Sorted List,35.7,0.5435976097059995,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
MEDIUM,Edit Distance,35.7,0.5818999026876489,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Reverse Nodes in k-Group,35.7,0.6204624534215137,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array II,35.7,0.3858970645425734,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Swap Nodes in Pairs,35.7,0.6651424283411775,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Remove Nth Node From End of List,29.6,0.48105414743517527,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Wildcard Matching,29.6,0.2936448764073223,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Flatten Binary Tree to Linked List,29.6,0.6768333214668846,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Unique Paths II,29.6,0.42759287701267046,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
