Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,94.9,0.5507379357644797,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Roman to Integer,77.2,0.6415381685318361,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Best Time to Buy and Sell Stock,74.1,0.5476982268271333,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Text Justification,72.8,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Word Search,72.0,0.4462624819827438,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Spiral Matrix,70.5,0.5293292273196886,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Group Anagrams,69.7,0.7033699077307562,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Valid Sudoku,68.0,0.6165261376179263,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Add Two Numbers,68.0,0.4543965080767522,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Longest Common Prefix,68.0,0.44887898798329745,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Valid Parentheses,67.1,0.4184517952754241,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,66.2,0.4232396700246752,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Merge Sorted Array,66.2,0.5225683871742244,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Generate Parentheses,65.2,0.7652984707443845,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Letter Combinations of a Phone Number,65.2,0.6308016559834609,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Trapping Rain Water,64.2,0.6428753017089767,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Rotate Image,64.2,0.7717075756878434,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Minimum Window Substring,63.1,0.4466497179189848,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Reverse Integer,63.1,0.2986431235283417,https://leetcode.com/problems/reverse-integer,Math
EASY,Remove Element,61.9,0.594380162102366,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Merge Two Sorted Lists,61.9,0.66289514052412,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,3Sum,60.7,0.36423060075594826,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome,60.7,0.5015483631834179,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Next Permutation,60.7,0.423240509456743,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Median of Two Sorted Arrays,60.7,0.429393695737594,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Decode Ways,59.4,0.3610500448626439,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,58.1,0.35298351728815647,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Maximum Depth of Binary Tree,56.6,0.7675471303217762,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Sqrt(x),56.6,0.40027067544753053,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Merge Intervals,56.6,0.48806484361940256,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Regular Expression Matching,56.6,0.2897186408628305,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Subsets,55.0,0.8025894997461674,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Longest Substring Without Repeating Characters,55.0,0.3632668601107121,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Jump Game II,55.0,0.411384657702939,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximum Subarray,55.0,0.5173369031138303,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Largest Rectangle in Histogram,55.0,0.46599430727940705,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Merge k Sorted Lists,55.0,0.5579527291964019,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Remove Duplicates from Sorted Array,55.0,0.5945074620755648,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Find First and Last Position of Element in Sorted Array,53.3,0.4614968279616237,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Climbing Stairs,53.3,0.5334305798456781,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,String to Integer (atoi),53.3,0.18717124658328768,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Find the Index of the First Occurrence in a String,53.3,0.4446359717405063,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Swap Nodes in Pairs,53.3,0.6651424283411775,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Container With Most Water,53.3,0.5717349107192083,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Palindrome Number,53.3,0.5865359616746844,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Combination Sum,51.5,0.7393127109003892,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Sudoku Solver,51.5,0.6367237182219803,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Longest Valid Parentheses,51.5,0.35694464228573786,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Binary Tree Level Order Traversal,49.5,0.6982011763903331,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Plus One,49.5,0.4704643565412813,https://leetcode.com/problems/plus-one,"Array, Math"
HARD,Word Ladder,49.5,0.41846750386296455,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Search Insert Position,49.5,0.48338374370417647,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Jump Game,47.3,0.3911360287358176,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Pascal's Triangle,47.3,0.7642548455060169,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
