Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Make Array Non-decreasing or Non-increasing,100.0,0.6529209621993126,https://leetcode.com/problems/make-array-non-decreasing-or-non-increasing,"Dynamic Programming, Greedy"
MEDIUM,Find Palindrome With Fixed Length,100.0,0.37360538442881397,https://leetcode.com/problems/find-palindrome-with-fixed-length,"Array, Math"
MEDIUM,Break a Palindrome,100.0,0.5153242459429931,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
HARD,Median of Two Sorted Arrays,91.1,0.42939384769847777,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Best Time to Buy and Sell Stock,82.8,0.5476984895253054,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,77.2,0.4443110186522549,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,77.2,0.5507385598180126,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Course Schedule,70.1,0.4847691811850963,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Search in Rotated Sorted Array,70.1,0.4232405873571615,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Time Based Key-Value Store,70.1,0.49362132086900123,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Next Permutation,70.1,0.4232404898871287,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Koko Eating Bananas,60.1,0.48823992534131055,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Longest Common Prefix,60.1,0.4488796422880532,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Longest Palindromic Substring,60.1,0.35298384019181084,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Course Schedule II,60.1,0.526302956042273,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Copy List with Random Pointer,60.1,0.5950412448736729,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Integer to Roman,60.1,0.6785827090202021,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Consecutive Numbers Sum,60.1,0.4201061895542487,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,60.1,0.6613189890443032,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Validate Binary Search Tree,60.1,0.33980447512294093,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Sort Colors,60.1,0.6636211656327589,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Climbing Stairs,60.1,0.5334307129383083,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Reverse Nodes in k-Group,60.1,0.620463138604683,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Rotting Oranges,60.1,0.5596864451271634,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
