Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Snapshot Array,100.0,0.3676659143333467,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Interval List Intersections,81.2,0.724583420514898,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
MEDIUM,Basic Calculator II,81.2,0.4525728041340735,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Maximum Profit in Job Scheduling,76.4,0.5433481351990448,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Guess the Word,76.4,0.3801407620905542,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Interactive, Game Theory"
HARD,Merge k Sorted Lists,70.2,0.5579547515308803,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Non-overlapping Intervals,70.2,0.5494428127840446,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Remove Sub-Folders from the Filesystem,70.2,0.7566951779778135,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
EASY,Transpose Matrix,70.2,0.7366767859612072,https://leetcode.com/problems/transpose-matrix,"Array, Matrix, Simulation"
EASY,Image Smoother,61.5,0.6814680032699313,https://leetcode.com/problems/image-smoother,"Array, Matrix"
MEDIUM,Time Based Key-Value Store,61.5,0.49362359417560553,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Basic Calculator III,61.5,0.5191670610506389,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,LRU Cache,61.5,0.4443115657807526,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Diameter of Binary Tree,61.5,0.6275686229592204,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
