Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Length of Longest V-Shaped Diagonal Segment,100.0,0.3891479019938498,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
EASY,Two Sum,83.4,0.5507381358292469,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,73.1,0.4443103226198868,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,3Sum,73.1,0.3642306812514666,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,68.1,0.44887905919285687,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Trapping Rain Water,68.1,0.6428749724369252,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Valid Parentheses,68.1,0.41845174662669976,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,61.8,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Text Justification,61.8,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Restore IP Addresses,52.9,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Group Anagrams,52.9,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Container With Most Water,52.9,0.5717346531051859,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,52.9,0.3632672400402751,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Minimum Time Difference,52.9,0.6227913906110207,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
EASY,Best Time to Buy and Sell Stock,52.9,0.547698124538477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Rotate Array,52.9,0.42461269152965875,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Word Ladder,52.9,0.41846701000429853,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Block Placement Queries,52.9,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Number of Islands,52.9,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Rotating the Box,52.9,0.7912848640701378,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
EASY,Image Smoother,52.9,0.6814680032699313,https://leetcode.com/problems/image-smoother,"Array, Matrix"
EASY,Diameter of Binary Tree,52.9,0.6275680201114885,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Find Score of an Array After Marking All Elements,52.9,0.6492385605763401,https://leetcode.com/problems/find-score-of-an-array-after-marking-all-elements,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
HARD,Sliding Window Maximum,52.9,0.4724662223761943,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
