Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Length of Longest V-Shaped Diagonal Segment,100.0,0.3891479019938498,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
EASY,Two Sum,96.9,0.5507381509208579,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Split the Array,95.2,0.5940943729402544,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
EASY,Create Target Array in the Given Order,91.4,0.8615133318813976,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation"
MEDIUM,Maximum Number of Events That Can Be Attended,89.2,0.32741707087340693,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
EASY,Two Furthest Houses With Different Colors,86.8,0.655497686269367,https://leetcode.com/problems/two-furthest-houses-with-different-colors,"Array, Greedy"
HARD,Earliest Possible Day of Full Bloom,86.8,0.7125531521538178,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,"Array, Greedy, Sorting"
MEDIUM,Match Alphanumerical Pattern in Matrix I,86.8,0.6319305277221109,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,"Array, Hash Table, String, Matrix"
EASY,Divisor Game,86.8,0.6991043403276804,https://leetcode.com/problems/divisor-game,"Math, Dynamic Programming, Brainteaser, Game Theory"
MEDIUM,Count Nodes With the Highest Score,86.8,0.5089312087057909,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
EASY,Odd String Difference,86.8,0.606562311860325,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
MEDIUM,Search in Rotated Sorted Array,84.2,0.42323985722321633,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Group Anagrams,81.3,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,3Sum,81.3,0.3642306812514666,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,81.3,0.44887905919285687,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Best Time to Buy and Sell Stock,81.3,0.5476981658439846,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Trapping Rain Water,78.0,0.6428749724369252,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Valid Parentheses,74.2,0.41845174662669976,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Text Justification,74.2,0.47093296579330096,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,LRU Cache,74.2,0.4443103226198868,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,69.7,0.36326722133772227,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Walls and Gates,64.2,0.6257012111402388,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Daily Temperatures,64.2,0.6696879118053548,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,64.2,0.3529833925453122,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Median of Two Sorted Arrays,64.2,0.4293936186016383,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Reverse Words in a String,57.1,0.5006652102306224,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Maximum Subarray,57.1,0.5173371638793948,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Block Placement Queries,57.1,0.1609268707482993,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Number of Islands,57.1,0.6158093545705631,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,57.1,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Course Schedule,57.1,0.4847677696142185,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Rotate String,57.1,0.6353774820907521,https://leetcode.com/problems/rotate-string,"String, String Matching"
MEDIUM,Rotating the Box,57.1,0.7912848640701378,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
EASY,Plus One,57.1,0.47046357979279035,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Word Search,57.1,0.4462620297045804,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Search a 2D Matrix,57.1,0.5177721819376666,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Find the Length of the Longest Common Prefix,47.2,0.5629081231022979,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,K Closest Points to Origin,47.2,0.6755328404267427,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Container With Most Water,47.2,0.5717347172677683,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Palindrome Number,47.2,0.5865358967860724,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Second Highest Salary,47.2,0.4297688940306304,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Find Peak Element,47.2,0.46335552635594035,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Reverse Vowels of a String,47.2,0.5701984769905286,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
EASY,Valid Palindrome,47.2,0.501548740715336,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Restore IP Addresses,47.2,0.5238319309402614,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Happy Number,47.2,0.5756142726908282,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Rotate Array,47.2,0.42461269152965875,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Top K Frequent Elements,47.2,0.6408022290786337,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Minimum Time Difference,47.2,0.6227913906110207,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
EASY,Valid Anagram,47.2,0.6615045906437409,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,Best Time to Buy and Sell Stock III,47.2,0.5025457578766519,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
HARD,Word Ladder,47.2,0.41846701000429853,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Spiral Matrix,47.2,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Image Smoother,47.2,0.6814680032699313,https://leetcode.com/problems/image-smoother,"Array, Matrix"
MEDIUM,Add Two Numbers,47.2,0.4543969069729553,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Number of Pairs of Strings With Concatenation Equal to Target,47.2,0.752744030163385,https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target,"Array, Hash Table, String, Counting"
HARD,Shortest Palindrome,47.2,0.4032944607985853,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Minimum Time to Complete Trips,47.2,0.3892450509298253,https://leetcode.com/problems/minimum-time-to-complete-trips,"Array, Binary Search"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,47.2,0.5982892548424776,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
MEDIUM,Generate Parentheses,47.2,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Split Message Based on Limit,47.2,0.431437590284094,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
MEDIUM,Subarray Sum Equals K,47.2,0.44931317696743306,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Find Servers That Handled Most Number of Requests,47.2,0.4377124709250313,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,"Array, Greedy, Heap (Priority Queue), Ordered Set"
HARD,Consecutive Numbers Sum,47.2,0.4201061895542487,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
EASY,Diameter of Binary Tree,47.2,0.6275680201114885,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimum Falling Path Sum,47.2,0.6200923746407752,https://leetcode.com/problems/minimum-falling-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Product of Array Except Self,47.2,0.6738347064393286,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Roman to Integer,47.2,0.6415383513370404,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Binary Tree Cameras,47.2,0.47022319456423417,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Find Score of an Array After Marking All Elements,47.2,0.6492385605763401,https://leetcode.com/problems/find-score-of-an-array-after-marking-all-elements,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
HARD,Reverse Nodes in k-Group,47.2,0.6204628606375331,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Check If Array Pairs Are Divisible by k,47.2,0.46216989306018774,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,"Array, Hash Table, Counting"
MEDIUM,Largest Number,47.2,0.40860609611684745,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
HARD,Sliding Window Maximum,47.2,0.4724662223761943,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
