Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.36326725391041337,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,81.9,0.42323962179450647,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Generate Parentheses,71.3,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Flatten Nested List Iterator,71.3,0.651593649598731,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Combination Sum,71.3,0.7393128847591091,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Longest Palindromic Substring,71.3,0.3529834662412073,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Median of Two Sorted Arrays,71.3,0.42939354223598436,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Merge Intervals,71.3,0.48806510187579843,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Rotting Oranges,71.3,0.5596870110158736,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Remove All Adjacent Duplicates in String II,71.3,0.5910194937772792,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
