Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443101734503459,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.36326723520785115,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Max Stack,89.4,0.452812440007679,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
EASY,Best Time to Buy and Sell Stock,87.4,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Parentheses,85.2,0.41845165149435637,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Trapping Rain Water,77.4,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Sort Colors,77.4,0.6636205793204717,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Word Break,74.1,0.47875216314231556,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Group Anagrams,74.1,0.7033700179127025,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,All Nodes Distance K in Binary Tree,74.1,0.6585736370270115,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Longest Palindromic Substring,74.1,0.3529834662412073,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Spiral Matrix,74.1,0.529329348111295,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Move Zeroes,70.3,0.6254444295314378,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Kth Largest Element in an Array,70.3,0.6762039436906637,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Number of Islands,70.3,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,3Sum,70.3,0.3642305621666562,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Copy List with Random Pointer,65.8,0.5950406672934385,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Rotate Array,65.8,0.42461244076968824,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Top K Frequent Elements,65.8,0.6408023649015275,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Degree of an Array,65.8,0.5713919458681063,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Maximum Subarray,65.8,0.5173371676806704,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Valid Sudoku,65.8,0.616526737834959,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Squares of a Sorted Array,60.3,0.7309319904601211,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,House Robber,60.3,0.5198829428860322,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,"Pow(x, n)",60.3,0.36477366510545584,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Maximal Square,60.3,0.48227894899696044,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Decode String,60.3,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Binary Tree Zigzag Level Order Traversal,60.3,0.6100935460708007,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Combination Sum,60.3,0.7393128847591091,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Word Search,60.3,0.4462620297045804,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Search a 2D Matrix,60.3,0.5177723026838196,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Add Binary,60.3,0.5519212953877572,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Merge Intervals,60.3,0.48806510187579843,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,First Missing Positive,60.3,0.4063432481245312,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Reverse Nodes in k-Group,60.3,0.6204626570296327,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Course Schedule,53.3,0.4847676344281809,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Koko Eating Bananas,53.3,0.4882386058875497,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Best Time to Buy and Sell Stock II,53.3,0.6885636223956378,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Rotate Image,53.3,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Daily Temperatures,53.3,0.6696875519226002,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Keys and Rooms,53.3,0.7424667703428358,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Flatten Nested List Iterator,53.3,0.651593649598731,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
HARD,Wildcard Matching,53.3,0.2936448764073223,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Course Schedule II,53.3,0.5263015801247451,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Flatten Deeply Nested Array,53.3,0.6391762746043576,https://leetcode.com/problems/flatten-deeply-nested-array,
MEDIUM,Minimum Add to Make Parentheses Valid,53.3,0.7469907481614936,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy"
MEDIUM,Subarray Sum Equals K,53.3,0.4493131491276949,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,53.3,0.42614454488049275,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window"
HARD,Median of Two Sorted Arrays,53.3,0.42939354223598436,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Grumpy Bookstore Owner,53.3,0.6410552934283159,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
MEDIUM,Max Consecutive Ones III,53.3,0.6522460194323672,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Longest Common Subsequence,53.3,0.5799220383790961,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
EASY,Two Sum,53.3,0.5507380657322908,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Consecutive Sequence,53.3,0.4719071172408352,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
HARD,Minimum Window Substring,53.3,0.4466492619272139,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Interleaving String,53.3,0.4139531274354955,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Generate Parentheses,53.3,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Longest Common Prefix,53.3,0.44887914301911686,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Container With Most Water,53.3,0.5717348459140769,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,LFU Cache,53.3,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Jump Game II,53.3,0.41138482345553784,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Coin Change,53.3,0.4581322512204496,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Maximum Profit From Trading Stocks,53.3,0.4634398712347666,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,53.3,0.42323962179450647,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Partition Equal Subset Sum,53.3,0.47200556725442167,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,Boats to Save People,43.5,0.5994226335486483,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
