Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.36326723520785115,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,96.1,0.4443101734503459,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Max Stack,88.9,0.452812440007679,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
EASY,Valid Parentheses,84.2,0.41845162098459554,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,84.2,0.5476981006566758,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Divide Intervals Into Minimum Number of Groups,78.4,0.6373214490866618,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Group Anagrams,78.4,0.7033700179127025,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,76.1,0.5507380623235012,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Number of Ways to Separate Numbers,76.1,0.21141086721421684,https://leetcode.com/problems/number-of-ways-to-separate-numbers,"String, Dynamic Programming, Suffix Array"
EASY,Middle of the Linked List,76.1,0.8011814473671599,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
HARD,Maximum Number of Tasks You Can Assign,76.1,0.33847583643122675,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
MEDIUM,Minimum Operations to Make Array Equal II,76.1,0.32126039410017254,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,"Array, Math, Greedy"
HARD,Minimum Number of Operations to Make Arrays Similar,76.1,0.6138664398128456,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar,"Array, Greedy, Sorting"
HARD,Count Good Triplets in an Array,76.1,0.4195547293409463,https://leetcode.com/problems/count-good-triplets-in-an-array,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
EASY,The Winner University,76.1,0.7525093370681606,https://leetcode.com/problems/the-winner-university,Database
MEDIUM,Longest Palindromic Substring,76.1,0.3529834662412073,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Trapping Rain Water,73.6,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Kth Largest Element in an Array,70.7,0.6762039436906637,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Spiral Matrix,70.7,0.529329348111295,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Merge Intervals,70.7,0.48806510187579843,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Word Break,70.7,0.47875216314231556,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Sort Colors,70.7,0.6636205793204717,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Valid Sudoku,67.5,0.616526737834959,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Search in Rotated Sorted Array,67.5,0.42323962179450647,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,67.5,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,3Sum,67.5,0.3642305621666562,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,All Nodes Distance K in Binary Tree,67.5,0.6585736370270115,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Median of Two Sorted Arrays,63.8,0.42939354223598436,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Combination Sum,63.8,0.7393128847591091,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Rotate Array,63.8,0.42461244076968824,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Move Zeroes,63.8,0.6254444295314378,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
