Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Product Subarray,100.0,0.3452967202527634,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Add Strings,94.7,0.5173803810680658,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Longest Palindromic Substring,77.6,0.3529840781786775,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Team Scores in Football Tournament,66.4,0.5576702336431295,https://leetcode.com/problems/team-scores-in-football-tournament,Database
MEDIUM,Group Anagrams,66.4,0.7033698462362437,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Palindromic Substrings,57.6,0.7126867066788907,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Increasing Subsequence,57.6,0.5717087407984038,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Maximum Number of Vowels in a Substring of Given Length,57.6,0.5984142057020164,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
HARD,Tournament Winners,57.6,0.49613848786695336,https://leetcode.com/problems/tournament-winners,Database
EASY,Valid Palindrome,57.6,0.5015500636386039,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Alert Using Same Key-Card Three or More Times in a One Hour Period,57.6,0.4618695359784802,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,"Array, Hash Table, String, Sorting"
EASY,Maximum Number of Balloons,57.6,0.5971906342258899,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Table, String, Counting"
EASY,Delete Characters to Make Fancy String,57.6,0.7178282095864305,https://leetcode.com/problems/delete-characters-to-make-fancy-string,String
MEDIUM,Minimum Moves to Reach Target Score,57.6,0.5134551719127827,https://leetcode.com/problems/minimum-moves-to-reach-target-score,"Math, Greedy"
MEDIUM,Longest Happy String,57.6,0.6547566161071271,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
MEDIUM,Lowest Common Ancestor of a Binary Tree,57.6,0.6566988496075655,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Design A Leaderboard,57.6,0.6788293908452796,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
MEDIUM,Largest Magic Square,57.6,0.5317843941671067,https://leetcode.com/problems/largest-magic-square,"Array, Matrix, Prefix Sum"
MEDIUM,Best Sightseeing Pair,57.6,0.6263199975398998,https://leetcode.com/problems/best-sightseeing-pair,"Array, Dynamic Programming"
