Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Integer to Roman,100.0,0.6785842781206166,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,91.5,0.429394401155668,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Decode String,72.9,0.6068670293297431,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Merge Intervals,72.9,0.48806700871204584,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest String Chain,66.3,0.616978865686017,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,3Sum,66.3,0.3642318106681014,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Number of Islands,66.3,0.6158109878322259,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Reconstruct Original Digits from English,66.3,0.5146023290166045,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
HARD,Word Search II,66.3,0.37016200895397394,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Longest Palindromic Substring,66.3,0.3529840781084107,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Roman to Integer,57.0,0.6415390613763843,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Shortest Word Distance,57.0,0.6577318457668967,https://leetcode.com/problems/shortest-word-distance,"Array, String"
EASY,Intersection of Two Arrays,57.0,0.7600205490400633,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Verifying an Alien Dictionary,57.0,0.5544977176645309,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
MEDIUM,Validate Binary Search Tree,57.0,0.3398045426922852,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree,57.0,0.6566997411477665,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Search Suggestions System,57.0,0.6504517687296704,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
