Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Trapping Rain Water,91.0,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Flatten Nested List Iterator,91.0,0.6515950546651197,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Merge Intervals,91.0,0.48806536402437767,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Implement Trie (Prefix Tree),85.0,0.6744646075005423,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Tweet Counts Per Frequency,85.0,0.4510873035128267,https://leetcode.com/problems/tweet-counts-per-frequency,"Hash Table, Binary Search, Design, Sorting, Ordered Set"
MEDIUM,Design Twitter,85.0,0.4158191770746404,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Investments in 2016,77.3,0.4971184414386885,https://leetcode.com/problems/investments-in-2016,Database
HARD,Best Meeting Point,77.3,0.611861892238182,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,The Skyline Problem,66.4,0.4363147821581098,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Rectangles Area,66.4,0.6865622119815669,https://leetcode.com/problems/rectangles-area,Database
EASY,Happy Number,66.4,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Customer Placing the Largest Number of Orders,66.4,0.6454532589478803,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,Database
MEDIUM,Number of Black Blocks,66.4,0.3742378936740321,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
EASY,Reverse Linked List,66.4,0.7865003801890073,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Validate IP Address,66.4,0.2769414404225533,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Tree Node,66.4,0.735237656148774,https://leetcode.com/problems/tree-node,Database
MEDIUM,Masking Personal Information,66.4,0.5022377808304161,https://leetcode.com/problems/masking-personal-information,String
MEDIUM,Process Tasks Using Servers,66.4,0.4075473290981617,https://leetcode.com/problems/process-tasks-using-servers,"Array, Heap (Priority Queue)"
MEDIUM,Number of Connected Components in an Undirected Graph,66.4,0.6377466894637381,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Remove All Occurrences of a Substring,66.4,0.7798055090423998,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,66.4,0.6742164626218405,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Design Authentication Manager,66.4,0.5812962442633699,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Count Sub Islands,66.4,0.7284822430041368,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Pascal's Triangle,66.4,0.7642549131700594,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Minimum Elements to Add to Form a Given Sum,66.4,0.4409391183413545,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,"Array, Greedy"
