Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.550738105646022,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Roman to Integer,77.2,0.6415383513370404,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,72.6,0.4293936186016383,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Container With Most Water,72.6,0.5717346531051859,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,70.8,0.36326720725854306,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,70.8,0.547698124538477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,69.9,0.3529833925453122,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Add Two Numbers,68.9,0.45439686182771327,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Maximum Depth of Binary Tree,67.8,0.7675478846003692,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Merge Sorted Array,66.7,0.5225685008779383,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Remove Duplicates from Sorted Array,66.7,0.5945071054465129,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,3Sum,65.6,0.3642306812514666,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,65.6,0.48806526885599455,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Valid Parentheses,64.3,0.41845174662669976,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Palindrome Number,63.0,0.5865359137146327,https://leetcode.com/problems/palindrome-number,Math
EASY,Climbing Stairs,63.0,0.5334308376907512,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Two Sorted Lists,63.0,0.6628949710106826,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Element,61.6,0.5943801990005386,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Rotate Image,61.6,0.7717077385834604,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Generate Parentheses,61.6,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Trapping Rain Water,60.1,0.6428749724369252,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Jump Game,58.4,0.3911362984838209,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Longest Common Prefix,56.6,0.44887905919285687,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Plus One,54.7,0.47046357979279035,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Search Insert Position,54.7,0.4833845053576493,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Group Anagrams,54.7,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Pascal's Triangle,52.5,0.7642550240084017,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Find the Index of the First Occurrence in a String,52.5,0.4446360188875243,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Permutations,52.5,0.8013989938286908,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Next Permutation,50.1,0.4232402325551396,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Length of Last Word,50.1,0.554460250999444,https://leetcode.com/problems/length-of-last-word,String
