Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.6878805919524289,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Summary Ranges,89.6,0.525608088788803,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Find K Closest Elements,86.8,0.4834732150587973,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Maximize Distance to Closest Person,81.6,0.4870415197084244,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,String Compression,81.6,0.5727262854853801,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Line Reflection,77.3,0.3587024122461503,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
MEDIUM,One Edit Distance,74.8,0.344465493153644,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Subarray Sum Equals K,71.9,0.44931317696743306,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,71.9,0.48806518536591015,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Longest Strictly Increasing or Strictly Decreasing Subarray,68.7,0.653457935296232,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray,Array
EASY,Squares of a Sorted Array,64.8,0.7309319904601211,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome II,64.8,0.424764791076395,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Permutation in String,64.8,0.46841431116519444,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
EASY,Move Zeroes,64.8,0.6254444911389615,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Isomorphic Strings,64.8,0.4641650417598521,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
HARD,Trapping Rain Water,60.0,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Binary Tree Right Side View,60.0,0.6563558963268074,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Find the Prefix Common Array of Two Arrays,60.0,0.8769069915069642,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays,"Array, Hash Table, Bit Manipulation"
MEDIUM,Find Duplicate Subtrees,60.0,0.5994563770907163,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
EASY,Two Sum,60.0,0.5507380788715822,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,60.0,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,60.0,0.3632672259610971,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Reconstruct Itinerary,53.9,0.43428432801381894,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
EASY,Merge Two Sorted Lists,53.9,0.6628948817605134,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Symmetric Tree,53.9,0.586338815837145,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,4Sum,53.9,0.3760160363570842,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Group Anagrams,53.9,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,53.9,0.6566973620097329,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Merge Sorted Array,53.9,0.5225683848567602,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Binary Tree Maximum Path Sum,53.9,0.40904577335466075,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
