Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.6878805919524289,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Summary Ranges,96.2,0.525608088788803,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,String Compression,88.3,0.5727262854853801,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Move Zeroes,87.2,0.6254444911389615,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Valid Palindrome,84.7,0.501548740715336,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Subarray Sum Equals K,83.7,0.44931317696743306,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Isomorphic Strings,83.3,0.4641650417598521,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Insert Delete GetRandom O(1),83.3,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Longest Substring Without Repeating Characters,82.8,0.3632672259610971,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Permutation in String,81.8,0.46841431116519444,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Line Reflection,81.3,0.3587024122461503,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
MEDIUM,Group Anagrams,79.6,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,79.6,0.5507380788715822,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,79.0,0.41845164993261563,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Merge Intervals,77.8,0.48806518536591015,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,75.1,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,One Edit Distance,72.7,0.344465493153644,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Validate Binary Search Tree,70.1,0.33980428086671177,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Min Stack,69.2,0.5591513998491091,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Generate Parentheses,69.2,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Palindromic Substring,69.2,0.3529834605616351,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Interval List Intersections,68.2,0.7245830118121921,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
EASY,Best Time to Buy and Sell Stock,68.2,0.547698124538477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find All Anagrams in a String,66.0,0.5182200573967305,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Design an ATM Machine,64.8,0.4376488744254705,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
EASY,Merge Sorted Array,64.8,0.5225683848567602,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,64.8,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Evaluate Reverse Polish Notation,63.5,0.5407070841811524,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Design Hit Counter,62.2,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Intersection of Two Arrays II,62.2,0.5889070025906624,https://leetcode.com/problems/intersection-of-two-arrays-ii,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,LRU Cache,60.7,0.4443102977133138,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring with At Most K Distinct Characters,60.7,0.49317771778670244,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
HARD,Candy,57.4,0.4438404963579283,https://leetcode.com/problems/candy,"Array, Greedy"
HARD,Minimum Window Substring,57.4,0.4466494121287548,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Simplify Path,55.6,0.4659590867505188,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Destination City,53.5,0.7947954911087178,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
EASY,Find the Difference of Two Arrays,51.2,0.8043326391052658,https://leetcode.com/problems/find-the-difference-of-two-arrays,"Array, Hash Table"
MEDIUM,Container With Most Water,51.2,0.5717347387623212,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Two Sorted Lists,51.2,0.6628948817605134,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Symmetric Tree,48.6,0.586338815837145,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Product of Array Except Self,48.6,0.6738348392784553,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Remove Element,48.6,0.5943801990005386,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Max Consecutive Ones III,48.6,0.6522462758712738,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Is Subsequence,48.6,0.4820861600011764,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Single Number,48.6,0.7533125825050841,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
HARD,Binary Tree Maximum Path Sum,48.6,0.40904577335466075,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,48.6,0.5579529096492184,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Perfect Squares,45.6,0.5543482455447708,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
