Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Summary Ranges,94.1,0.525608088788803,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,String Compression,86.7,0.5727262854853801,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Move Zeroes,83.5,0.6254444911389615,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Line Reflection,80.4,0.3587024122461503,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
EASY,Isomorphic Strings,80.4,0.4641650417598521,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Valid Palindrome,80.4,0.501548740715336,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Longest Substring Without Repeating Characters,79.6,0.3632672259610971,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Insert Delete GetRandom O(1),79.6,0.5490690532656376,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Two Sum,76.8,0.5507380788715822,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,76.8,0.48806518536591015,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,76.3,0.7033698794136874,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,75.3,0.4184516923338954,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,One Edit Distance,73.6,0.344465493153644,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Number of Islands,73.0,0.6158092822188889,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Generate Parentheses,67.4,0.7652986107087103,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Min Stack,66.6,0.5591513998491091,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Palindromic Substring,66.6,0.35298342655347037,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Interval List Intersections,65.7,0.7245830118121921,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
MEDIUM,Validate Binary Search Tree,65.7,0.33980428086671177,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Find All Anagrams in a String,64.8,0.5182200573967305,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,64.8,0.6428747125433004,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Merge Sorted Array,63.8,0.5225684428673563,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,63.8,0.547698124538477,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Design an ATM Machine,63.8,0.4376488744254705,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
MEDIUM,Evaluate Reverse Polish Notation,60.6,0.5407070841811524,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Design Hit Counter,60.6,0.690145319433361,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
EASY,Intersection of Two Arrays II,59.3,0.5889070025906624,https://leetcode.com/problems/intersection-of-two-arrays-ii,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,LRU Cache,59.3,0.4443102977133138,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring with At Most K Distinct Characters,56.7,0.49317771778670244,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
HARD,Minimum Window Substring,55.2,0.4466494121287548,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Simplify Path,55.2,0.4659590867505188,https://leetcode.com/problems/simplify-path,"String, Stack"
HARD,Candy,53.5,0.4438404963579283,https://leetcode.com/problems/candy,"Array, Greedy"
EASY,Merge Two Sorted Lists,53.5,0.6628948817605134,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Symmetric Tree,51.7,0.586338815837145,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Binary Tree Maximum Path Sum,51.7,0.40904577335466075,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,49.8,0.5579530134890482,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Lowest Common Ancestor of a Binary Tree,49.8,0.6566973620097329,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
