Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Destination City,100.0,0.7947939076042145,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
MEDIUM,Course Schedule,100.0,0.484770209834316,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Two Sum,97.5,0.5507386430533793,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,97.5,0.36326749934177677,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Letter Case Permutation,97.5,0.7480346676614434,https://leetcode.com/problems/letter-case-permutation,"String, Backtracking, Bit Manipulation"
MEDIUM,Top K Frequent Words,97.5,0.5892392440503562,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Minimum Index Sum of Two Lists,97.5,0.5740349753822458,https://leetcode.com/problems/minimum-index-sum-of-two-lists,"Array, Hash Table, String"
HARD,Find the Closest Palindrome,97.5,0.31602541296060993,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
EASY,Check If a Word Occurs As a Prefix of Any Word in a Sentence,97.5,0.6888263683544021,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Two Pointers, String, String Matching"
MEDIUM,String Compression,97.5,0.5727254421103352,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,"Filter Restaurants by Vegan-Friendly, Price and Distance",97.5,0.6307399742714916,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,"Array, Sorting"
MEDIUM,Decode String,97.5,0.6068665571513974,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,97.5,0.3580665492548521,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Insert Delete GetRandom O(1),97.5,0.5490672980376602,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Top K Frequent Elements,97.5,0.6408028798026756,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Valid Anagram,97.5,0.6615055397931663,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,The Skyline Problem,97.5,0.4363147821581098,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
EASY,Reverse Linked List,97.5,0.7865008490895329,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Active Businesses,97.5,0.6585193825787374,https://leetcode.com/problems/active-businesses,Database
MEDIUM,Reverse Words in a String,97.5,0.5006664756087896,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
HARD,Word Ladder,97.5,0.41846768689248665,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Word Ladder II,97.5,0.27118278193317824,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
MEDIUM,Merge Intervals,97.5,0.48806630576703347,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,97.5,0.7033698462362437,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Longest Common Prefix,97.5,0.44887952193554104,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Random Pick with Weight,79.6,0.48208232929719136,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Minimum String Length After Removing Substrings,56.0,0.7749782827636092,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,56.0,0.3973141311087312,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
