Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Decode String,100.0,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Largest Number,100.0,0.40860609611684745,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Merge Intervals,87.6,0.4880655232188065,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,81.8,0.36326741823698305,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,81.8,0.6158095716254219,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Multiply Strings,81.8,0.41830200150042074,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Spiral Matrix,74.2,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,74.2,0.547698231031222,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Longest Valid Parentheses,74.2,0.3569454388107572,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Trapping Rain Water,74.2,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Remove Duplicates from Sorted Array,74.2,0.5945072134106415,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Fair Distribution of Cookies,63.6,0.6930948473908762,https://leetcode.com/problems/fair-distribution-of-cookies,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Rotate Image,63.6,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Rotting Oranges,63.6,0.5596871680478486,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Container With Most Water,63.6,0.5717348882608119,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Check if Every Row and Column Contains All Numbers,63.6,0.5252827334914578,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,"Array, Hash Table, Matrix"
EASY,Number of Good Pairs,63.6,0.8948689794402794,https://leetcode.com/problems/number-of-good-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,Group Anagrams,63.6,0.7033701064125986,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,63.6,0.5507382628837116,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Edit Distance,63.6,0.5819004009146251,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Reverse Words in a String,63.6,0.500665440299857,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Valid Sudoku,63.6,0.6165271141833194,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Interleaving String,63.6,0.41395335768850233,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Word Subsets,63.6,0.5561174454753479,https://leetcode.com/problems/word-subsets,"Array, Hash Table, String"
EASY,Contains Duplicate,63.6,0.628169625084368,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Sort Characters By Frequency,63.6,0.7365399314941959,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Daily Temperatures,63.6,0.6696879068677921,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Sqrt(x),63.6,0.40027080642396967,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Longest Palindromic Substring,63.6,0.3529834208739118,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Buddy Strings,63.6,0.3352873818383859,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
