Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Climbing Stairs,100.0,0.5334308910445972,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Spiral Matrix,94.1,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Palindromic Substring,94.1,0.3529834208739118,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,92.9,0.547698231031222,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,89.1,0.36326741823698305,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,87.7,0.7033701064125986,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,87.7,0.41845162819099,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Move Zeroes,84.5,0.6254445730872974,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Compare Version Numbers,80.9,0.41970873641689155,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
EASY,Two Sum,80.9,0.5507382628837116,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,80.9,0.6158095716254219,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Longest Common Prefix,78.9,0.44887924418673886,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Merge Intervals,76.6,0.4880655232188065,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Trapping Rain Water,76.6,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,74.2,0.7652983483077801,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Zigzag Conversion,74.2,0.5079126704842502,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Rotate Array,71.4,0.42461265174916846,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Excel Sheet Column Number,71.4,0.6531872030559459,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
MEDIUM,Decode String,71.4,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Container With Most Water,71.4,0.5717348882608119,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Text Justification,68.2,0.4709325342277451,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,68.2,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Merge Sorted Array,68.2,0.5225684099611085,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Roman to Integer,64.6,0.6415383513370404,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Sort Colors,64.6,0.6636207461909871,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Word Pattern,64.6,0.4280618744313011,https://leetcode.com/problems/word-pattern,"Hash Table, String"
EASY,Sort Even and Odd Indices Independently,64.6,0.6257856607964728,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
EASY,Happy Number,64.6,0.5756148228328275,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
