Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Climbing Stairs,100.0,0.5334308910445972,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Spiral Matrix,97.2,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Palindromic Substring,96.1,0.3529834208739118,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,96.1,0.5476981810138769,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,93.9,0.36326741823698305,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,90.2,0.7033701648211541,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,88.8,0.41845162819099,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Islands,87.4,0.615809643976987,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Decode String,87.4,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Two Sum,84.1,0.550738244383319,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,84.1,0.4880655232188065,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Sort Even and Odd Indices Independently,84.1,0.6257856607964728,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
EASY,Move Zeroes,84.1,0.6254445730872974,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Compare Version Numbers,82.3,0.41970873641689155,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
HARD,Trapping Rain Water,82.3,0.6428745912239254,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Find Winner on a Tic Tac Toe Game,78.3,0.5409290484448216,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
EASY,Longest Common Prefix,78.3,0.44887924418673886,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
