Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Total Cost to Hire K Workers,100.0,0.4288641822524734,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
MEDIUM,Find and Replace Pattern,100.0,0.7681460567835527,https://leetcode.com/problems/find-and-replace-pattern,"Array, Hash Table, String"
HARD,Cherry Pickup,93.5,0.3756444657601079,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Count Zero Request Servers,85.2,0.3342987680509097,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
HARD,Number of Ways to Divide a Long Corridor,73.4,0.48981946848518976,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
HARD,First Missing Positive,73.4,0.4063433288468093,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Self Crossing,73.4,0.31667590117984484,https://leetcode.com/problems/self-crossing,"Array, Math, Geometry"
HARD,Largest Rectangle in Histogram,73.4,0.4659928714825133,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Split the Array to Make Coprime Products,73.4,0.23649135779646918,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory"
MEDIUM,Bitwise OR of All Subsequence Sums,73.4,0.6508420208500401,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser"
HARD,Shortest Cycle in a Graph,73.4,0.3698822584961199,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph"
HARD,Reverse Nodes in k-Group,73.4,0.6204637494253157,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
HARD,Maximum Spending After Buying Items,73.4,0.6151917048468772,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Global and Local Inversions,73.4,0.42293036658609445,https://leetcode.com/problems/global-and-local-inversions,"Array, Math"
HARD,Optimal Account Balancing,73.4,0.49706284623483454,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Frog Jump,73.4,0.46401866392297614,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Unique Paths II,73.4,0.4275929363196473,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Unique Paths,73.4,0.6540339481386499,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,LFU Cache,73.4,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
