Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Spending After Buying Items,100.0,0.6151917048468772,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
HARD,Split the Array to Make Coprime Products,100.0,0.23649135779646918,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory"
MEDIUM,Bitwise OR of All Subsequence Sums,100.0,0.6508420208500401,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser"
HARD,Shortest Cycle in a Graph,100.0,0.3698822584961199,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph"
HARD,Number of Ways to Divide a Long Corridor,100.0,0.48981946848518976,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
MEDIUM,Find and Replace Pattern,82.4,0.7681460567835527,https://leetcode.com/problems/find-and-replace-pattern,"Array, Hash Table, String"
MEDIUM,Total Cost to Hire K Workers,82.4,0.4288641822524734,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
HARD,Cherry Pickup,76.7,0.3756444657601079,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Count Zero Request Servers,69.4,0.3342987680509097,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
HARD,Reverse Nodes in k-Group,59.2,0.6204637494253157,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Number of Islands,59.2,0.6158109878322259,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,LFU Cache,59.2,0.4584725068954174,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,First Missing Positive,59.2,0.40634321148187824,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,3Sum,59.2,0.3642318405733155,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Frog Jump,59.2,0.46401866392297614,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
HARD,Largest Rectangle in Histogram,59.2,0.4659928714825133,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Optimal Account Balancing,59.2,0.49706284623483454,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Unique Paths,59.2,0.6540339481386499,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Global and Local Inversions,59.2,0.42293036658609445,https://leetcode.com/problems/global-and-local-inversions,"Array, Math"
MEDIUM,Unique Paths II,59.2,0.4275929363196473,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
HARD,Self Crossing,59.2,0.31667590117984484,https://leetcode.com/problems/self-crossing,"Array, Math, Geometry"
