Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Zigzag Conversion,100.0,0.5079155051694905,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Reverse Nodes in Even Length Groups,84.5,0.602931907000198,https://leetcode.com/problems/reverse-nodes-in-even-length-groups,Linked List
HARD,Minimum Window Substring,74.5,0.446655473096618,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Fraction Addition and Subtraction,70.9,0.6616418709410256,https://leetcode.com/problems/fraction-addition-and-subtraction,"Math, String, Simulation"
HARD,Trapping Rain Water,66.5,0.6428760114309252,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Remove K Digits,66.5,0.3444088892139653,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Bulls and Cows,66.5,0.5110193047446275,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
MEDIUM,Group Anagrams,53.0,0.7033747926639667,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,53.0,0.5477011018241003,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,3Sum,53.0,0.364233974870801,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,53.0,0.5717356664996752,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Add Two Numbers,53.0,0.4544027099582609,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
