Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Spiral Matrix,95.4,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Word Ladder,89.9,0.41846701000429853,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Number of Islands,82.7,0.6158093545705631,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Open the Lock,72.5,0.6057795374354823,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
EASY,Valid Parentheses,72.5,0.4184517093903054,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Reconstruct Itinerary,72.5,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Binary Tree Cameras,72.5,0.47022319456423417,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Course Schedule,72.5,0.4847677696142185,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,72.5,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
