Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Move Zeroes,100.0,0.625444552746465,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,95.5,0.3632673009803429,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Kth Largest Element in an Array,90.1,0.6762038598240602,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Number of Islands,90.1,0.6158093545705631,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,90.1,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,83.5,0.4184517093903054,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Partition Equal Subset Sum,83.5,0.4720058058484162,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,Meeting Rooms II,83.5,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Group Anagrams,83.5,0.703369894459555,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Word Search II,83.5,0.37015804817868336,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Course Schedule II,83.5,0.5263015586396242,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Concatenated Words,75.1,0.49353365443587627,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
MEDIUM,Longest ZigZag Path in a Binary Tree,75.1,0.6631925642505638,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Binary Search Tree to Greater Sum Tree,75.1,0.8833075778552676,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Decode String,75.1,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Word Break,75.1,0.47875205709549057,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Find Minimum in Rotated Sorted Array,75.1,0.5215056720224421,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
EASY,Meeting Rooms,75.1,0.5876054345522371,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
HARD,Word Ladder,75.1,0.41846701000429853,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Binary Tree Zigzag Level Order Traversal,75.1,0.6100934506540245,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Merge Intervals,75.1,0.4880653523460517,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Merge k Sorted Lists,75.1,0.5579531173288294,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Copy List with Random Pointer,63.3,0.5950405930798501,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Two Sum,63.3,0.5507382346529056,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Integer to Roman,63.3,0.678581139896373,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Nested List Weight Sum,63.3,0.8517367968363341,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Permutations,63.3,0.8013990580279359,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Rank Teams by Votes,63.3,0.5895344320514955,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Reorganize String,63.3,0.5578367808394188,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Top K Frequent Elements,63.3,0.6408024023259269,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Find Pivot Index,63.3,0.5989556390346161,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
HARD,Integer to English Words,63.3,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Minimize Maximum Pair Sum in Array,63.3,0.8142606383885206,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Binary Gap,63.3,0.6447587122005727,https://leetcode.com/problems/binary-gap,Bit Manipulation
EASY,Remove One Element to Make the Array Strictly Increasing,63.3,0.28494822345745124,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
EASY,Alternating Digit Sum,63.3,0.6854713216044523,https://leetcode.com/problems/alternating-digit-sum,Math
HARD,Minimum Window Subsequence,63.3,0.43571324320872784,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
HARD,Design Skiplist,63.3,0.6183864234504038,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
EASY,Subtree of Another Tree,63.3,0.49481438931991917,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
MEDIUM,Container With Most Water,63.3,0.5717346957732282,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Longest Valid Parentheses,63.3,0.3569454388107572,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
EASY,Valid Palindrome II,63.3,0.42476532649518556,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
HARD,Reconstruct Itinerary,63.3,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,63.3,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
EASY,Roman to Integer,63.3,0.6415383513370404,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,63.3,0.5173371638793948,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,63.3,0.6885636034233434,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Best Time to Buy and Sell Stock,63.3,0.5476981071147623,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring with At Most Two Distinct Characters,63.3,0.5609471783040328,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Two Sum II - Input Array Is Sorted,63.3,0.6287745129712392,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
EASY,Majority Element,63.3,0.6549765317613602,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Rotate Array,63.3,0.4246126298461037,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Validate Binary Search Tree,63.3,0.33980428086671177,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Shortest Palindrome,63.3,0.4032944607985853,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Maximal Square,63.3,0.4822795859526049,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Design a Stack With Increment Operation,63.3,0.8046713398239558,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
HARD,Median of Two Sorted Arrays,63.3,0.4293936186016383,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Rotate Image,63.3,0.7717078200311817,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Trapping Rain Water,63.3,0.6428746605407334,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,First Missing Positive,63.3,0.40634301339349543,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Maximum Tastiness of Candy Basket,63.3,0.6545454545454545,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Koko Eating Bananas,63.3,0.488237883790282,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Search in Rotated Sorted Array,63.3,0.4232399484901989,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Find the Index of the First Occurrence in a String,63.3,0.4446360977105217,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,3Sum,63.3,0.3642309944526204,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
