Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Partition Equal Subset Sum,100.0,0.4720058058484162,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,LRU Cache,97.7,0.4443104468827379,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Alternating Digit Sum,95.1,0.6854713216044523,https://leetcode.com/problems/alternating-digit-sum,Math
EASY,Subtree of Another Tree,95.1,0.49481438931991917,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
MEDIUM,Minimize Maximum Pair Sum in Array,95.1,0.8142606383885206,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Binary Gap,95.1,0.6447587122005727,https://leetcode.com/problems/binary-gap,Bit Manipulation
HARD,Design Skiplist,95.1,0.6183864234504038,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
HARD,Minimum Window Subsequence,95.1,0.43571324320872784,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
EASY,Remove One Element to Make the Array Strictly Increasing,95.1,0.28494822345745124,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
MEDIUM,Number of Islands,89.2,0.6158093545705631,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Word Ladder,85.6,0.41846701000429853,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Move Zeroes,85.6,0.625444552746465,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,81.5,0.36326736654377373,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,76.7,0.703369894459555,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Spiral Matrix,76.7,0.5293294861000031,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Valid Parentheses,76.7,0.4184517093903054,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Kth Largest Element in an Array,76.7,0.6762038598240602,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Word Search II,70.7,0.37015804817868336,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Course Schedule II,70.7,0.5263015586396242,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,70.7,0.5669944968727209,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Binary Tree Zigzag Level Order Traversal,70.7,0.6100934506540245,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Merge Intervals,70.7,0.4880653523460517,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Meeting Rooms II,70.7,0.5191552987461305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Reconstruct Itinerary,70.7,0.4342853599010642,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Merge k Sorted Lists,70.7,0.5579531173288294,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Longest ZigZag Path in a Binary Tree,63.1,0.6631925642505638,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Decode String,63.1,0.6068660634109276,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Reorganize String,63.1,0.5578367808394188,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Binary Search Tree to Greater Sum Tree,63.1,0.8833075778552676,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Meeting Rooms,63.1,0.5876054345522371,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
MEDIUM,Course Schedule,63.1,0.4847677696142185,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Concatenated Words,63.1,0.49353365443587627,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
MEDIUM,Search in Rotated Sorted Array,63.1,0.4232399484901989,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Open the Lock,63.1,0.6057795374354823,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Word Break,63.1,0.47875205709549057,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Best Time to Buy and Sell Stock II,63.1,0.6885636034233434,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Find Minimum in Rotated Sorted Array,63.1,0.5215056720224421,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
HARD,Integer to English Words,52.5,0.3425973688509723,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
EASY,Valid Palindrome II,52.5,0.42476532649518556,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
