Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Friday Purchases I,100.0,0.8069815195071868,https://leetcode.com/problems/friday-purchases-i,Database
EASY,Two Sum,61.3,0.5507379586344091,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Zigzag Grid Traversal With Skip,61.3,0.6389201115690437,https://leetcode.com/problems/zigzag-grid-traversal-with-skip,"Array, Matrix, Simulation"
EASY,Palindrome Number,57.6,0.5865359983575332,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Jump Game,55.3,0.3911363260400059,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Majority Element,52.7,0.6549766281047557,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Split Array With Same Average,49.7,0.2567175346035268,https://leetcode.com/problems/split-array-with-same-average,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
EASY,Count Number of Pairs With Absolute Difference K,49.7,0.8460598628332652,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
EASY,Longest Common Prefix,49.7,0.44887909992484765,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Find the Index of the First Occurrence in a String,49.7,0.4446359243488162,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Valid Parentheses,46.0,0.418451768368595,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Subarray,41.2,0.5173371676806704,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Reverse Integer,41.2,0.29864317763528553,https://leetcode.com/problems/reverse-integer,Math
EASY,Single Number,41.2,0.753312475822824,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Jump Game II,41.2,0.4113847783996616,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Subarray Sum Equals K,41.2,0.4493133959130834,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,3Sum,41.2,0.36423056977716844,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Remove Nth Node From End of List,41.2,0.4810542231663091,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Sqrt(x),41.2,0.40027083939033725,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,K-diff Pairs in an Array,41.2,0.44256804494639196,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Group Anagrams,41.2,0.7033699811854448,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Roman to Integer,41.2,0.6415382798139785,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Contains Duplicate II,41.2,0.4812775643652191,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Missing Number,34.4,0.6934722247471534,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Merge Sorted Array,34.4,0.5225684232474097,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Second Highest Salary,34.4,0.4297695826690275,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Rotate Array,34.4,0.42461250245325166,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,N-Queens,34.4,0.7166911518963466,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Unique Paths,34.4,0.6540334939594389,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Tallest Billboard,34.4,0.5200513103039971,https://leetcode.com/problems/tallest-billboard,"Array, Dynamic Programming"
EASY,Running Sum of 1d Array,34.4,0.8693976887055892,https://leetcode.com/problems/running-sum-of-1d-array,"Array, Prefix Sum"
MEDIUM,Reverse Words in a String,34.4,0.5006642899515634,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Reverse String,34.4,0.7951857340013342,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,34.4,0.42614454488049275,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window"
EASY,Valid Palindrome,34.4,0.501548742289156,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,House Robber,34.4,0.5198828515139704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
